method,seed,learn_step,learn_task,eval_task_index,eval_task,n,cpa_n,fde,risk_fde,train_seconds
finetune,23,6,GL,3,ZS2,1043,276,3.05446457862854,1.9270257949829104,70.74262779997662
finetune,23,6,GL,4,OF,568,28,5.085360050201416,4.872256755828857,70.74262779997662
finetune,23,6,GL,5,EP0,556,106,2.1179065704345703,2.084071159362793,70.74262779997662
finetune,23,6,GL,6,GL,3050,241,1.9153759479522705,1.869713544845581,70.74262779997662
finetune,23,7,ZS0,0,MA,1178,126,4.623549938201904,3.665851831436157,68.63229310000315
finetune,23,7,ZS0,1,FT,2452,138,3.993705749511719,4.223348140716553,68.63229310000315
finetune,23,7,ZS0,2,LN,238,6,3.591890573501587,3.791973114013672,68.63229310000315
finetune,23,7,ZS0,3,ZS2,1043,276,2.950511932373047,1.6858080625534058,68.63229310000315
finetune,23,7,ZS0,4,OF,568,28,5.767907619476318,6.189361095428467,68.63229310000315
finetune,23,7,ZS0,5,EP0,556,106,2.210325002670288,2.230110883712769,68.63229310000315
finetune,23,7,ZS0,6,GL,3050,241,3.0408952236175537,3.0565905570983887,68.63229310000315
finetune,23,7,ZS0,7,ZS0,1084,2,1.0164179801940918,1.4831886291503906,68.63229310000315
finetune,47,0,MA,0,MA,1178,126,2.802724123001098,2.7466211318969727,67.52800470002694
finetune,47,1,FT,0,MA,1178,126,4.284090042114258,3.60041880607605,66.2720492000226
finetune,47,1,FT,1,FT,2452,138,2.5089540481567383,2.553016901016236,66.2720492000226
finetune,47,2,LN,0,MA,1178,126,5.461549282073975,4.268792629241943,64.53745100001106
finetune,47,2,LN,1,FT,2452,138,3.470500469207764,3.284135341644287,64.53745100001106
finetune,47,2,LN,2,LN,238,6,1.5663762092590332,3.455521821975708,64.53745100001106
finetune,47,3,ZS2,0,MA,1178,126,4.660224437713623,3.8898074626922607,66.89017090003472
finetune,47,3,ZS2,1,FT,2452,138,4.305320739746094,4.607907295227051,66.89017090003472
finetune,47,3,ZS2,2,LN,238,6,3.818763017654419,4.8754167556762695,66.89017090003472
finetune,47,3,ZS2,3,ZS2,1043,276,1.021071195602417,0.9652701020240784,66.89017090003472
finetune,47,4,OF,0,MA,1178,126,4.654799461364746,3.6916286945343018,63.55022319999989
finetune,47,4,OF,1,FT,2452,138,3.650789737701416,3.7205071449279785,63.55022319999989
finetune,47,4,OF,2,LN,238,6,2.702665328979492,3.771884202957153,63.55022319999989
finetune,47,4,OF,3,ZS2,1043,276,2.425734043121338,1.8646894693374636,63.55022319999989
finetune,47,4,OF,4,OF,568,28,2.510364055633545,1.6815474033355713,63.55022319999989
finetune,47,5,EP0,0,MA,1178,126,5.271669864654541,3.9444403648376474,64.50493430002825
finetune,47,5,EP0,1,FT,2452,138,4.876858234405518,4.534554481506348,64.50493430002825
finetune,47,5,EP0,2,LN,238,6,4.078444004058838,3.731769561767578,64.50493430002825
finetune,47,5,EP0,3,ZS2,1043,276,5.445524215698242,4.011510848999023,64.50493430002825
finetune,47,5,EP0,4,OF,568,28,4.815159797668457,3.3727290630340576,64.50493430002825
finetune,47,5,EP0,5,EP0,556,106,2.0127997398376465,1.8641552925109863,64.50493430002825
finetune,47,6,GL,0,MA,1178,126,3.037600517272949,2.864170551300049,64.1759933999856
finetune,47,6,GL,1,FT,2452,138,3.497161626815796,3.204423427581787,64.1759933999856
finetune,47,6,GL,2,LN,238,6,3.072737455368042,3.597717523574829,64.1759933999856
finetune,47,6,GL,3,ZS2,1043,276,2.726125240325928,1.9389519691467283,64.1759933999856
finetune,47,6,GL,4,OF,568,28,5.42986536026001,4.761013984680176,64.1759933999856
finetune,47,6,GL,5,EP0,556,106,1.9427164793014529,1.8099669218063357,64.1759933999856
finetune,47,6,GL,6,GL,3050,241,1.822553753852844,1.79883873462677,64.1759933999856
finetune,47,7,ZS0,0,MA,1178,126,4.994956970214844,3.921848773956299,63.10793440003181
finetune,47,7,ZS0,1,FT,2452,138,4.190446376800537,4.203915596008301,63.10793440003181
finetune,47,7,ZS0,2,LN,238,6,3.8710665702819824,4.170077800750732,63.10793440003181
finetune,47,7,ZS0,3,ZS2,1043,276,3.317470073699951,1.7890154123306274,63.10793440003181
finetune,47,7,ZS0,4,OF,568,28,5.9497833251953125,6.302407741546631,63.10793440003181
finetune,47,7,ZS0,5,EP0,556,106,2.355691432952881,2.153003692626953,63.10793440003181
finetune,47,7,ZS0,6,GL,3050,241,3.1368212699890137,3.042423248291016,63.10793440003181
finetune,47,7,ZS0,7,ZS0,1084,2,0.9496917128562928,0.933979332447052,63.10793440003181
reservoir,7,0,MA,0,MA,1178,126,2.5815088748931885,2.5621955394744877,40.88878169999225
reservoir,7,1,FT,0,MA,1178,126,2.537609338760376,2.720232486724853,108.09901059995173
reservoir,7,1,FT,1,FT,2452,138,2.5081896781921387,2.703092098236084,108.09901059995173
reservoir,7,2,LN,0,MA,1178,126,2.644514322280884,2.4250991344451904,214.9646193000372
reservoir,7,2,LN,1,FT,2452,138,2.681110143661499,2.7620561122894287,214.9646193000372
reservoir,7,2,LN,2,LN,238,6,1.915805101394653,3.685818672180176,214.9646193000372
reservoir,7,3,ZS2,0,MA,1178,126,2.7692737579345703,2.620126247406006,234.7402849000064
reservoir,7,3,ZS2,1,FT,2452,138,2.6860508918762207,2.6473658084869385,234.7402849000064
reservoir,7,3,ZS2,2,LN,238,6,1.735067367553711,3.410673141479492,234.7402849000064
reservoir,7,3,ZS2,3,ZS2,1043,276,1.220252275466919,1.2664445638656616,234.7402849000064
reservoir,7,4,OF,0,MA,1178,126,2.6858551502227783,2.699787139892578,226.98327519994928
reservoir,7,4,OF,1,FT,2452,138,2.496572256088257,2.410370349884033,226.98327519994928
reservoir,7,4,OF,2,LN,238,6,1.812676191329956,3.279496192932129,226.98327519994928
reservoir,7,4,OF,3,ZS2,1043,276,1.350167751312256,1.379535436630249,226.98327519994928
reservoir,7,4,OF,4,OF,568,28,2.592614889144897,2.16196608543396,226.98327519994928
reservoir,7,5,EP0,0,MA,1178,126,2.3460519313812256,2.426567316055298,188.0129353000084
reservoir,7,5,EP0,1,FT,2452,138,2.4892585277557373,2.6489486694335938,188.0129353000084
reservoir,7,5,EP0,2,LN,238,6,1.83975887298584,3.1335363388061523,188.0129353000084
reservoir,7,5,EP0,3,ZS2,1043,276,1.1768980026245115,1.1350679397583008,188.0129353000084
reservoir,7,5,EP0,4,OF,568,28,3.020251750946045,2.498335599899292,188.0129353000084
reservoir,7,5,EP0,5,EP0,556,106,1.5600614547729492,1.607651948928833,188.0129353000084
reservoir,7,6,GL,0,MA,1178,126,2.371009349822998,2.501305103302002,194.0261836000136
reservoir,7,6,GL,1,FT,2452,138,2.453305721282959,2.699547052383423,194.0261836000136
reservoir,7,6,GL,2,LN,238,6,1.829145908355713,3.118891954421997,194.0261836000136
