method,seed,task,historical,n,cpa_n,initial_fde,final_fde,initial_cpa_fde,final_cpa_fde,ordinary_forgetting,cpa_forgetting,gap
reservoir,7,ZS2,True,1043,276,1.220252275466919,1.1755424737930298,1.2664445638656616,0.9839354753494264,-0.04470980167388916,-0.28250908851623524,-0.23779928684234608
reservoir,7,OF,True,568,28,2.592614889144897,3.208456039428711,2.16196608543396,3.247082233428955,0.6158411502838139,1.0851161479949951,0.4692749977111812
reservoir,7,EP0,True,556,106,1.5600614547729492,2.2119927406311035,1.607651948928833,2.176790952682495,0.6519312858581543,0.5691390037536621,-0.08279228210449219
reservoir,7,GL,True,3050,241,1.7309476137161257,1.8997477293014529,1.7421852350234983,1.992270827293396,0.16880011558532715,0.2500855922698977,0.08128547668457053
reservoir,7,ZS0,False,1084,2,1.0037647485733032,1.0037647485733032,1.1392534971237185,1.1392534971237185,0.0,0.0,0.0
reservoir,11,MA,True,1178,126,2.532744884490967,2.6784510612487797,2.373590469360352,2.7404699325561523,0.14570617675781294,0.36687946319580034,0.2211732864379874
reservoir,11,FT,True,2452,138,2.673423767089844,2.60918402671814,2.6327500343322754,2.5869739055633545,-0.0642397403717041,-0.0457761287689209,0.018463611602783203
reservoir,11,LN,True,238,6,1.778335452079773,2.0158262252807617,3.499587059020996,3.8092315196990967,0.23749077320098877,0.3096444606781006,0.07215368747711182
reservoir,11,ZS2,True,1043,276,1.110698938369751,1.366776466369629,1.0794137716293335,1.2164340019226074,0.25607752799987793,0.13702023029327393,-0.119057297706604
reservoir,11,OF,True,568,28,2.62650728225708,3.4479799270629883,2.188490629196167,3.310847759246826,0.8214726448059082,1.1223571300506592,0.300884485244751
reservoir,11,EP0,True,556,106,1.7890158891677856,1.831301212310791,1.7619364261627195,1.7002842426300049,0.04228532314300537,-0.06165218353271462,-0.10393750667571999
reservoir,11,GL,True,3050,241,1.767630100250244,2.060593843460083,1.7114341259002686,2.038062572479248,0.2929637432098391,0.3266284465789795,0.0336647033691404
reservoir,11,ZS0,False,1084,2,1.1694244146347046,1.1694244146347046,1.6616246700286863,1.6616246700286863,0.0,0.0,0.0
reservoir,23,MA,True,1178,126,3.104684829711914,2.6797823905944824,2.707595109939575,2.633305549621582,-0.42490243911743164,-0.07428956031799316,0.3506128787994385
reservoir,23,FT,True,2452,138,3.0198895931243896,2.6281192302703857,3.2012650966644287,2.6596360206604004,-0.3917703628540039,-0.5416290760040283,-0.14985871315002441
reservoir,23,LN,True,238,6,1.964933037757873,2.241377830505371,4.000979900360107,3.3361294269561768,0.276444792747498,-0.6648504734039307,-0.9412952661514287
reservoir,23,ZS2,True,1043,276,1.355107665061951,1.1754590272903442,1.3733367919921875,1.033856987953186,-0.17964863777160667,-0.33947980403900146,-0.1598311662673948
reservoir,23,OF,True,568,28,2.643516540527344,3.195368766784668,2.312650680541992,3.39548134803772,0.5518522262573238,1.082830667495728,0.5309784412384042
reservoir,23,EP0,True,556,106,1.7592910528182983,1.863495111465454,1.7666703462600708,1.866206169128418,0.10420405864715576,0.09953582286834717,-0.004668235778808594
reservoir,23,GL,True,3050,241,2.11423134803772,2.32816481590271,2.197115182876587,2.42249608039856,0.2139334678649898,0.2253808975219731,0.01144742965698331
reservoir,23,ZS0,False,1084,2,0.9908292889595032,0.9908292889595032,1.115329027175903,1.115329027175903,0.0,0.0,0.0
reservoir,47,MA,True,1178,126,2.802724123001098,2.515026569366455,2.7466211318969727,2.4628102779388428,-0.2876975536346431,-0.2838108539581299,0.003886699676513228
reservoir,47,FT,True,2452,138,2.480949640274048,3.002798080444336,2.377173900604248,3.134577989578247,0.5218484401702881,0.757404088973999,0.23555564880371094
reservoir,47,LN,True,238,6,1.7934606075286863,2.046172857284546,3.752595186233521,2.882223129272461,0.2527122497558596,-0.87037205696106,-1.1230843067169196
reservoir,47,ZS2,True,1043,276,1.227352738380432,1.302067518234253,1.1287683248519895,1.302703857421875,0.07471477985382102,0.17393553256988548,0.09922075271606445
reservoir,47,OF,True,568,28,2.7423288822174072,3.2447996139526367,2.496206998825073,2.852909803390503,0.5024707317352295,0.35670280456543013,-0.14576792716979936
reservoir,47,EP0,True,556,106,1.6648802757263184,1.9225025177001955,1.763363242149353,1.8792904615402224,0.2576222419738772,0.11592721939086936,-0.1416950225830078
reservoir,47,GL,True,3050,241,1.8826349973678589,1.9934605360031128,1.8479571342468264,1.9239366054534912,0.1108255386352539,0.07597947120666482,-0.03484606742858909
reservoir,47,ZS0,False,1084,2,1.0931522846221924,1.0931522846221924,0.7922317981719971,0.7922317981719971,0.0,0.0,0.0
gss_adapted,7,MA,True,1178,126,2.5815088748931885,2.565500020980835,2.5621955394744877,2.542868137359619,-0.016008853912353516,-0.019327402114868608,-0.0033185482025150925
gss_adapted,7,FT,True,2452,138,2.658212900161743,2.478113889694214,2.784075736999512,2.668188095092773,-0.1800990104675293,-0.11588764190673917,0.06421136856079013
gss_adapted,7,LN,True,238,6,1.8054372072219849,2.4637322425842285,3.4507076740264893,3.429534673690796,0.6582950353622437,-0.02117300033569336,-0.679468035697937
gss_adapted,7,ZS2,True,1043,276,1.0946465730667114,1.5631420612335205,1.0669182538986206,1.1347132921218872,0.4684954881668091,0.0677950382232666,-0.4007004499435425
gss_adapted,7,OF,True,568,28,2.453876495361328,2.950141906738281,2.004436731338501,2.635932922363281,0.4962654113769527,0.6314961910247798,0.13523077964782715
gss_adapted,7,EP0,True,556,106,1.7189823389053345,1.7835581302642822,1.7345309257507324,1.7987515926361084,0.06457579135894775,0.06422066688537598,-0.00035512447357177734
gss_adapted,7,GL,True,3050,241,1.819849967956543,2.03623104095459,1.8106054067611692,1.9685243368148804,0.21638107299804688,0.15791893005371116,-0.058462142944335715
gss_adapted,7,ZS0,False,1084,2,1.0792137384414673,1.0792137384414673,1.6789546012878418,1.6789546012878418,0.0,0.0,0.0
gss_adapted,11,MA,True,1178,126,2.532744884490967,3.652756690979004,2.373590469360352,3.04259991645813,1.120011806488037,0.6690094470977779,-0.45100235939025923
gss_adapted,11,FT,True,2452,138,2.6124260425567627,3.401696920394897,2.707334280014038,3.021481275558472,0.7892708778381343,0.31414699554443404,-0.4751238822937003
gss_adapted,11,LN,True,238,6,1.8259704113006592,2.843413591384888,3.634474515914917,3.255587339401245,1.017443180084229,-0.3788871765136719,-1.3963303565979008
gss_adapted,11,ZS2,True,1043,276,1.1418256759643557,1.770959973335266,1.1062650680541992,1.25514018535614,0.6291342973709102,0.1488751173019407,-0.4802591800689695
gss_adapted,11,OF,True,568,28,2.532120943069458,3.1006462574005127,2.3787972927093506,2.799344301223755,0.5685253143310547,0.4205470085144043,-0.1479783058166504
gss_adapted,11,EP0,True,556,106,1.65486478805542,2.042170286178589,1.7396780252456665,1.779763102531433,0.38730549812316895,0.0400850772857666,-0.34722042083740234
gss_adapted,11,GL,True,3050,241,1.870238184928894,2.127342700958252,1.8139386177062988,2.117298126220703,0.2571045160293579,0.3033595085144043,0.04625499248504639
gss_adapted,11,ZS0,False,1084,2,1.1371930837631226,1.1371930837631226,1.6248971223831177,1.6248971223831177,0.0,0.0,0.0
gss_adapted,23,MA,True,1178,126,3.104684829711914,3.0507235527038574,2.707595109939575,2.9399406909942627,-0.05396127700805664,0.2323455810546875,0.28630685806274414
gss_adapted,23,FT,True,2452,138,3.2682933807373047,2.691340446472168,3.393759250640869,2.5835063457489014,-0.5769529342651367,-0.8102529048919678,-0.23329997062683105
gss_adapted,23,LN,True,238,6,1.849248051643372,2.388007402420044,3.736369371414185,2.9555766582489014,0.5387593507766719,-0.7807927131652836,-1.3195520639419556
gss_adapted,23,ZS2,True,1043,276,1.1594884395599363,1.3501498699188232,1.14899742603302,1.1419944763183594,0.19066143035888694,-0.0070029497146606445,-0.19766438007354759
gss_adapted,23,OF,True,568,28,2.832620143890381,3.486524105072021,2.6084306240081787,2.873481750488281,0.6539039611816402,0.2650511264801021,-0.3888528347015381
gss_adapted,23,EP0,True,556,106,1.7524322271347046,1.8081096410751345,1.8686516284942627,1.7999461889266968,0.05567741394042991,-0.06870543956756592,-0.12438285350799583
gss_adapted,23,GL,True,3050,241,1.863382697105408,2.085034847259521,1.810129165649414,1.924819111824036,0.2216521501541131,0.11468994617462203,-0.10696220397949108
gss_adapted,23,ZS0,False,1084,2,1.1440104246139526,1.1440104246139526,0.9429209232330322,0.9429209232330322,0.0,0.0,0.0
gss_adapted,47,MA,True,1178,126,2.802724123001098,2.859704971313477,2.7466211318969727,2.439272403717041,0.05698084831237882,-0.30734872817993164,-0.36432957649231046
gss_adapted,47,FT,True,2452,138,2.607049465179444,2.849394559860229,2.524495840072632,3.017741441726685,0.24234509468078524,0.4932456016540532,0.25090050697326793
gss_adapted,47,LN,True,238,6,1.7583461999893188,2.524734735488892,3.989722013473511,3.652615547180176,0.7663885354995732,-0.3371064662933354,-1.1034950017929086
gss_adapted,47,ZS2,True,1043,276,1.1346920728683472,2.125190496444702,1.0340713262557983,1.4819087982177734,0.990498423576355,0.4478374719619751,-0.5426609516143799
gss_adapted,47,OF,True,568,28,2.5548994541168213,3.18976092338562,1.9030276536941528,2.965024471282959,0.6348614692687988,1.0619968175888062,0.4271353483200073
