method,seed,task,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
dualls_adapted,89,baseline,1.5,-0.5407560940980911,-0.6864713806946573,-0.5303253382155191,-0.14571528659656618,-0.15614604247913821
dualls_adapted,89,baseline,2.0,-0.5407560940980911,-0.693299307295495,-0.5223921330020127,-0.15254321319740394,-0.17090717429348234
dualls_adapted,107,baseline,0.5,-0.7214713341295719,-1.3078125190218433,-0.9179254481692989,-0.5863411848922714,-0.38988707085254437
dualls_adapted,107,baseline,1.0,-0.7214713341295719,-0.975730112735959,-0.7620591083066495,-0.2542587786063871,-0.21367100442930953
dualls_adapted,107,baseline,1.5,-0.7214713341295719,-0.8746476444671569,-0.7046556333916066,-0.15317631033758505,-0.1699920110755503
dualls_adapted,107,baseline,2.0,-0.7214713341295719,-0.8926465191058258,-0.6953058828440014,-0.17117518497625395,-0.1973406362618244
finetune,7,wind5,0.5,10.901019306123256,16.002209460184833,10.960017477450105,5.101190154061577,5.042191982734728
finetune,7,wind5,1.0,10.901019306123256,13.50071919185032,11.015862833017561,2.5996998857270643,2.4848563588327597
finetune,7,wind5,1.5,10.901019306123256,12.510045277374285,10.984289199900338,1.6090259712510289,1.5257560774739467
finetune,7,wind5,2.0,10.901019306123256,11.85839658412974,10.927542311995225,0.9573772780064829,0.9308542721345141
finetune,11,wind5,0.5,23.157292249292134,27.556746665839178,23.14850780391266,4.399454416547044,4.408238861926517
finetune,11,wind5,1.0,23.157292249292134,25.448023521029683,23.166804168370373,2.290731271737549,2.28121935265931
finetune,11,wind5,1.5,23.157292249292134,24.62320030614258,23.181441031581397,1.465908056850445,1.441759274561182
finetune,11,wind5,2.0,23.157292249292134,24.054182220004485,23.146086090391005,0.8968899707123512,0.9080961296134795
finetune,23,wind5,0.5,14.893630449995399,19.542452916218217,15.03233486314964,4.648822466222818,4.510118053068577
finetune,23,wind5,1.0,14.893630449995399,17.1468645378373,14.977292766505725,2.2532340878419,2.169571771331574
finetune,23,wind5,1.5,14.893630449995399,16.21172279607654,14.974837501993381,1.3180923460811407,1.2368852940831587
finetune,23,wind5,2.0,14.893630449995399,15.632182929683358,14.92767939176662,0.738552479687959,0.7045035379167377
finetune,47,wind5,0.5,10.468277089893817,14.066014738172102,10.522796949959314,3.597737648278285,3.5432177882127878
finetune,47,wind5,1.0,10.468277089893817,12.156820281191482,10.522702862536303,1.688543191297665,1.6341174186551797
finetune,47,wind5,1.5,10.468277089893817,11.461940804263005,10.524046683528438,0.9936637143691875,0.9378941207345672
finetune,47,wind5,2.0,10.468277089893817,10.999809251071039,10.479776398372314,0.5315321611772212,0.5200328526987246
finetune,59,wind5,0.5,15.298167879730464,19.656896429219444,15.296303735917345,4.35872854948898,4.360592693302099
finetune,59,wind5,1.0,15.298167879730464,17.717797045261573,15.376853388448387,2.4196291655311093,2.3409436568131863
finetune,59,wind5,1.5,15.298167879730464,16.890013493322915,15.364950549636056,1.5918456135924508,1.5250629436868586
finetune,59,wind5,2.0,15.298167879730464,16.280059386285338,15.3200523998195,0.9818915065548737,0.9600069864658369
finetune,71,wind5,0.5,13.055427513480186,18.916295059404934,13.263079790874793,5.860867545924748,5.653215268530142
finetune,71,wind5,1.0,13.055427513480186,15.959658349866073,13.158876398634789,2.904230836385887,2.8007819512312846
finetune,71,wind5,1.5,13.055427513480186,14.832776115626023,13.096903229024534,1.7773486021458371,1.7358728866014896
finetune,71,wind5,2.0,13.055427513480186,14.09528560021653,13.055538447525452,1.0398580867363432,1.0397471526910778
finetune,89,wind5,0.5,17.47585402301699,19.56825120635568,17.284161058783607,2.09239718333869,2.2840901475720727
finetune,89,wind5,1.0,17.47585402301699,18.67089573617337,17.4363126673469,1.1950417131563817,1.2345830688264705
finetune,89,wind5,1.5,17.47585402301699,18.262367856968726,17.44001559253421,0.7865138339517372,0.8223522644345174
finetune,89,wind5,2.0,17.47585402301699,17.90733467399905,17.431067448351918,0.4314806509820599,0.4762672256471312
finetune,107,wind5,0.5,5.40918147110194,9.610733844861862,5.5062319119337495,4.201552373759922,4.1045019329281125
finetune,107,wind5,1.0,5.40918147110194,7.425076992226421,5.493746394654412,2.015895521124481,1.9313305975720088
finetune,107,wind5,1.5,5.40918147110194,6.58388239457703,5.4855587210130325,1.1747009234750898,1.0983236735639972
finetune,107,wind5,2.0,5.40918147110194,6.084477388198872,5.465283264378862,0.6752959170969319,0.6191941238200096
reservoir,7,wind5,0.5,0.25508968684077266,0.49040105587737576,0.1370015355228856,0.2353113690366031,0.3533995203544902
reservoir,7,wind5,1.0,0.25508968684077266,0.3176585108223116,0.2226782128279462,0.06256882398153896,0.09498029799436541
reservoir,7,wind5,1.5,0.25508968684077266,0.3043494492305487,0.222360003087998,0.04925976238977603,0.08198944614255069
reservoir,7,wind5,2.0,0.25508968684077266,0.2552964259877621,0.21669035437698647,0.00020673914698943197,0.038606071610775616
reservoir,11,wind5,0.5,0.47336291697621347,1.1239876782248734,0.47106759335289766,0.65062476124866,0.6529200848719758
reservoir,11,wind5,1.0,0.47336291697621347,0.7272283434263349,0.4993801128472603,0.25386542645012145,0.2278482305790746
reservoir,11,wind5,1.5,0.47336291697621347,0.6357847978646983,0.5003464951809493,0.16242188088848486,0.135438302683749
reservoir,11,wind5,2.0,0.47336291697621347,0.5375027221047853,0.49053630838793794,0.06413980512857187,0.0469664137168474
