method,threshold,metric,n_seeds,mean,ci_low,ci_high
reservoir,2.0,overall,8,0.1501406143510714,-0.06262285363431087,0.3861202604701742
reservoir,2.0,cpa,8,0.19329706953063192,-0.0525480534236007,0.45035733705023906
reservoir,2.0,matched,8,0.13280918318239604,-0.08231437163242569,0.36979118175608205
reservoir,2.0,cpa_minus_overall,8,0.043156455179560495,-0.006056084262550411,0.10904892313765838
reservoir,2.0,cpa_minus_matched,8,0.06048788634823589,0.013062489540552061,0.11929868955934128
gss_adapted,0.5,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,0.5,cpa,8,-0.22606584603541527,-0.41889333987439126,0.008124650208830776
gss_adapted,0.5,matched,8,-0.1870576435819502,-0.3624768319748124,0.023627140595667034
gss_adapted,0.5,cpa_minus_overall,8,-0.08288894128144716,-0.14463050765246252,-0.02419021440119804
gss_adapted,0.5,cpa_minus_matched,8,-0.03900820245346506,-0.09499295570928462,0.014378365633945704
gss_adapted,1.0,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,1.0,cpa,8,-0.11120853331053726,-0.32014858710425953,0.13059861091558728
gss_adapted,1.0,matched,8,-0.1575624322056398,-0.3330453675062442,0.052299780886761474
gss_adapted,1.0,cpa_minus_overall,8,0.03196837144343085,-0.016459795656064136,0.0823283444000389
gss_adapted,1.0,cpa_minus_matched,8,0.04635389889510256,0.002757484386050926,0.09002718851399509
gss_adapted,1.5,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,1.5,cpa,8,-0.13260502725540552,-0.3297836527581,0.09965099720515819
gss_adapted,1.5,matched,8,-0.15401358237764462,-0.327875731821589,0.05394695979499245
gss_adapted,1.5,cpa_minus_overall,8,0.010571877498562596,-0.02471497564443712,0.046196274023852124
gss_adapted,1.5,cpa_minus_matched,8,0.021408555122239097,-0.011453578720703201,0.0541445500995264
gss_adapted,2.0,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,2.0,cpa,8,-0.14836304498596808,-0.34116500716099996,0.07806726343828752
gss_adapted,2.0,matched,8,-0.15312812706246165,-0.3268161978284784,0.05444680775322359
gss_adapted,2.0,cpa_minus_overall,8,-0.0051861402319999875,-0.037882327398540375,0.027843838557489505
gss_adapted,2.0,cpa_minus_matched,8,0.004765082076493522,-0.024846787992413816,0.03499354964469057
cgsm_dual,0.5,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,0.5,cpa,8,-0.2769186527140731,-0.3674728647290486,-0.19929858870505324
cgsm_dual,0.5,matched,8,-0.2490168627586024,-0.3130266348873663,-0.18353142662729888
cgsm_dual,0.5,cpa_minus_overall,8,-0.07468054046438206,-0.1401962274569052,0.004767534674157074
cgsm_dual,0.5,cpa_minus_matched,8,-0.02790178995547069,-0.08416404455109391,0.04244961406390811
cgsm_dual,1.0,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,1.0,cpa,8,-0.1844574441977993,-0.2657532469844438,-0.10659247331279152
cgsm_dual,1.0,matched,8,-0.21889504277979777,-0.2811189409142863,-0.15659785295525275
cgsm_dual,1.0,cpa_minus_overall,8,0.01778066805189174,-0.027026609286019534,0.06284004232576713
