method,seed,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
cgsm_dual,71,1.0,-0.16163586623668671,-0.0765406045671517,-0.1428132611416369,0.08509526166953502,0.06627265657448522
cgsm_dual,71,1.5,-0.16163586623668671,-0.14986040240173318,-0.15737502501320194,0.011775463834953526,0.007514622611468768
cgsm_dual,71,2.0,-0.16163586623668671,-0.175050960025587,-0.16046463318334242,-0.013415093788900333,-0.0145863268422446
cgsm_dual,89,0.5,-0.07998877597004175,-0.13861001616269142,-0.12378145428935153,-0.05862124019264968,-0.014828561873339885
cgsm_dual,89,1.0,-0.07998877597004175,-0.03874610812485418,-0.10507743290089203,0.04124266784518757,0.06633132477603783
cgsm_dual,89,1.5,-0.07998877597004175,-0.05362591423547387,-0.1019925558195646,0.026362861734567887,0.04836664158409071
cgsm_dual,89,2.0,-0.07998877597004175,-0.05290989932641867,-0.10254350513095356,0.027078876643623073,0.04963360580453487
cgsm_dual,107,0.5,-0.09571452680528163,-0.19470954334827206,-0.12188723135077158,-0.09899501654299044,-0.07282231199750051
cgsm_dual,107,1.0,-0.09571452680528163,-0.051392076076860305,-0.10146935022692834,0.044322450728421336,0.05007727415006804
cgsm_dual,107,1.5,-0.09571452680528163,-0.06025986805356305,-0.09850041326188176,0.03545465875171859,0.03824054520831871
cgsm_dual,107,2.0,-0.09571452680528163,-0.06653952888203347,-0.10102720553432225,0.02917499792324817,0.0344876766522888
dualls_adapted,7,0.5,-0.23980218310654164,-0.24273111177052095,-0.27411463032986016,-0.002928928663979333,0.03138351855933923
dualls_adapted,7,1.0,-0.23980218310654164,-0.18917866570934966,-0.2445062482310957,0.05062351739719199,0.055327582521746056
dualls_adapted,7,1.5,-0.23980218310654164,-0.21343067647494451,-0.24259185313146764,0.02637150663159713,0.02916117665652316
dualls_adapted,7,2.0,-0.23980218310654164,-0.2499036796163951,-0.24177263128747423,-0.010101496509853461,-0.00813104832892086
dualls_adapted,11,0.5,-0.08281336599886417,-0.155129704386359,-0.13634104959998952,-0.07231633838749482,-0.018788654786369506
dualls_adapted,11,1.0,-0.08281336599886417,-0.059190670665371536,-0.09880357325401493,0.02362269533349266,0.03961290258864339
dualls_adapted,11,1.5,-0.08281336599886417,-0.08938563421390949,-0.09270408191153243,-0.006572268215045307,0.0033184476976229394
dualls_adapted,11,2.0,-0.08281336599886417,-0.11606802523688953,-0.09193399485989043,-0.033254659238025376,-0.024134030376999127
dualls_adapted,23,0.5,-0.1518256914153695,-0.06001869230123552,-0.20307114185458786,0.09180699911413398,0.14305244955335236
dualls_adapted,23,1.0,-0.1518256914153695,-0.06981475986225272,-0.16176876567171333,0.08201093155311678,0.09195400580946063
dualls_adapted,23,1.5,-0.1518256914153695,-0.11590163543207836,-0.15308549610864702,0.035924055983291125,0.03718386067656864
dualls_adapted,23,2.0,-0.1518256914153695,-0.14977523915396726,-0.15270651389591614,0.002050452261402247,0.002931274741948875
dualls_adapted,47,0.5,-0.1418491678878665,0.02848113075032215,-0.17638171374342834,0.17033029863818863,0.20486284449375045
dualls_adapted,47,1.0,-0.1418491678878665,-0.004454284043606071,-0.14440150998231222,0.13739488384426043,0.13994722593870618
dualls_adapted,47,1.5,-0.1418491678878665,-0.06600977817091067,-0.13797898472838113,0.07583938971695584,0.07196920655747047
