method,stratum_name,metric,n_seeds,mean,ci_low,ci_high
gss_adapted,within_3s,stratum_minus_matched,8,-0.01639055142048944,-0.06314224117253234,0.027138172194288185
gss_adapted,within_3s,cpa_matched,0,,,
gss_adapted,within_3s,stratum_minus_cpa_matched,0,,,
gss_adapted,within_5s,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,within_5s,stratum,8,-0.16431752737627348,-0.3640304422575197,0.07392346569795002
gss_adapted,within_5s,matched,8,-0.17093508193055898,-0.34638122301898955,0.03971846358212056
gss_adapted,within_5s,stratum_minus_overall,8,-0.021140622622305365,-0.07096607179912102,0.028497922960531483
gss_adapted,within_5s,stratum_minus_matched,8,0.006617554554285501,-0.03838073966074629,0.05039641167331743
gss_adapted,within_5s,cpa_matched,0,,,
gss_adapted,within_5s,stratum_minus_cpa_matched,0,,,
gss_adapted,within_10s,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,within_10s,stratum,8,-0.11120853331053725,-0.32014858710425953,0.1305986109155873
gss_adapted,within_10s,matched,8,-0.1575624322056398,-0.3330453675062442,0.052299780886761474
gss_adapted,within_10s,stratum_minus_overall,8,0.03196837144343085,-0.016459795656064136,0.0823283444000389
gss_adapted,within_10s,stratum_minus_matched,8,0.04635389889510256,0.002757484386050927,0.09002718851399509
gss_adapted,within_10s,cpa_matched,0,,,
gss_adapted,within_10s,stratum_minus_cpa_matched,0,,,
gss_adapted,ongoing,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,ongoing,stratum,8,-0.250699415011602,-0.4425055166778731,-0.018283970703246638
gss_adapted,ongoing,matched,8,-0.18094046118942475,-0.3543921172911909,0.028008216618075364
gss_adapted,ongoing,stratum_minus_overall,8,-0.10752251025763383,-0.16328038931657715,-0.05672507514279269
gss_adapted,ongoing,stratum_minus_matched,8,-0.06975895382217719,-0.12169534516614788,-0.023164427463298786
gss_adapted,ongoing,cpa_matched,8,-0.14554408326073875,-0.3484683833933242,0.09294343515393758
gss_adapted,ongoing,stratum_minus_cpa_matched,8,-0.1051553317508632,-0.12753059623986823,-0.08084028596398196
gss_adapted,new_0_3s,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,new_0_3s,stratum,8,0.22375691291674296,-0.026052250055459657,0.5121320504438804
gss_adapted,new_0_3s,matched,8,-0.11539534766263691,-0.30640847045960695,0.11158355217139956
gss_adapted,new_0_3s,stratum_minus_overall,8,0.3669338176707111,0.2754034673659698,0.46087057741208515
gss_adapted,new_0_3s,stratum_minus_matched,8,0.33915226057937986,0.2688835576890275,0.40939003476545655
gss_adapted,new_0_3s,cpa_matched,8,-0.05931760467556131,-0.2823181766373106,0.21074025946528085
gss_adapted,new_0_3s,stratum_minus_cpa_matched,8,0.2830745175923043,0.22427613756563494,0.34185539511223684
gss_adapted,new_3_5s,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,new_3_5s,stratum,8,0.18580006528609785,-0.06083582396512305,0.4711319162383724
gss_adapted,new_3_5s,matched,8,-0.14131368712593026,-0.3170711132336631,0.06729416884141945
gss_adapted,new_3_5s,stratum_minus_overall,8,0.328976970040066,0.2133988196001964,0.45732075861646126
gss_adapted,new_3_5s,stratum_minus_matched,8,0.3271137524120281,0.20737279319259647,0.4580752391091417
gss_adapted,new_3_5s,cpa_matched,8,-0.06005274303683697,-0.27179197206264744,0.18711048935164926
gss_adapted,new_3_5s,stratum_minus_cpa_matched,8,0.24585280832293482,0.13369651395704354,0.35628099972047333
gss_adapted,new_5_10s,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,new_5_10s,stratum,8,0.22390588210229567,-0.027579814581147347,0.5179258438743486
gss_adapted,new_5_10s,matched,8,-0.07390653684814476,-0.24983274700840113,0.13401143238498747
gss_adapted,new_5_10s,stratum_minus_overall,8,0.3670827868562638,0.27532250722077856,0.46300080917397357
gss_adapted,new_5_10s,stratum_minus_matched,8,0.29781241895044047,0.20596670384610738,0.39159076464655
gss_adapted,new_5_10s,cpa_matched,8,0.006852254009202419,-0.20659101872119287,0.2599819965635155
gss_adapted,new_5_10s,stratum_minus_cpa_matched,8,0.21705362809309325,0.15010123113386137,0.28076477601798605
gss_adapted,no_entry_10s,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,no_entry_10s,stratum,8,-0.15672608349704897,-0.30578019311285426,0.01744840563820646
gss_adapted,no_entry_10s,matched,8,-0.13330167204783905,-0.299441587284697,0.0655864558646018
gss_adapted,no_entry_10s,stratum_minus_overall,8,-0.013549178743080858,-0.04697894586123544,0.01704820801172484
gss_adapted,no_entry_10s,stratum_minus_matched,8,-0.023424411449209887,-0.0532169230474407,0.004469838577936791
gss_adapted,no_entry_10s,cpa_matched,0,,,
gss_adapted,no_entry_10s,stratum_minus_cpa_matched,0,,,
cgsm_dual,within_3s,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,within_3s,stratum,8,-0.2627096982317406,-0.34823969169073254,-0.18995256744716038
cgsm_dual,within_3s,matched,8,-0.23513826562199608,-0.2988531389030821,-0.17065241315374818
cgsm_dual,within_3s,stratum_minus_overall,8,-0.06047158598204956,-0.11501527988319717,-0.0052812926690248285
