method,seed,task,stratum_name,stratum_n,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
dualls_adapted,89,speed15,new_3_5s,46,0.028438866086304186,0.013124388197193975,-0.09453412141325494,-0.01531447788911021,0.10765850961044891,0.030321726089878015,-0.017197337892684038
dualls_adapted,89,speed15,new_5_10s,90,0.028438866086304186,-0.0411597255203459,-0.0894405938066431,-0.06959859160665008,0.0482808682862972,0.04300594746878154,-0.08416567298912744
dualls_adapted,89,speed15,no_entry_10s,1298,0.028438866086304186,0.016925967839447487,0.07042345474522538,-0.011512898246856699,-0.053497486905777894,,
dualls_adapted,107,speed15,within_3s,566,-0.11404636270925403,-0.5542154593307643,-0.29317856736092474,-0.44016909662151027,-0.2610368919698396,,
dualls_adapted,107,speed15,within_5s,612,-0.11404636270925403,-0.5696228005332884,-0.2938810426197433,-0.45557643782403434,-0.2757417579135451,,
dualls_adapted,107,speed15,within_10s,702,-0.11404636270925403,-0.4328038713488823,-0.2771496875364687,-0.31875750863962826,-0.15565418381241364,,
dualls_adapted,107,speed15,ongoing,504,-0.11404636270925403,-0.6376865076876822,-0.30677415029059074,-0.5236401449784281,-0.33091235739709146,-0.4924246052571893,-0.14526190243049292
dualls_adapted,107,speed15,new_0_3s,62,-0.11404636270925403,0.12432338537708405,-0.18265963515847797,0.2383697480863381,0.30698302053556203,-0.31309037413377905,0.4374137595108631
dualls_adapted,107,speed15,new_3_5s,46,-0.11404636270925403,-0.7592000857643459,-0.3025245425434678,-0.6451537230550919,-0.45667554322087817,-0.3350299796334767,-0.42417010613086925
dualls_adapted,107,speed15,new_5_10s,90,-0.11404636270925403,0.4975648471050792,-0.16337647297020083,0.6116112098143333,0.6609413200752801,-0.231370381976197,0.7289352290812762
dualls_adapted,107,speed15,no_entry_10s,1298,-0.11404636270925403,0.05834791392019056,-0.025834857294227354,0.1723942766294446,0.08418277121441792,,
finetune,7,alt180,within_3s,656,-0.07587662908434868,0.4879129637123608,-0.06583866663842652,0.5637895927967095,0.5537516303507873,,
finetune,7,alt180,within_5s,700,-0.07587662908434868,0.4612263719524656,-0.06758231093133689,0.5371030010368143,0.5288086828838025,,
finetune,7,alt180,within_10s,802,-0.07587662908434868,0.3698904320337529,-0.055935245774731406,0.44576706111810155,0.4258256778084843,,
finetune,7,alt180,ongoing,566,-0.07587662908434868,0.5985842140740304,-0.06612062529348482,0.6744608431583791,0.6647048393675152,0.3889697353189019,0.2096144787551285
finetune,7,alt180,new_0_3s,90,-0.07587662908434868,-0.20808623300658333,-0.06406545998550425,-0.13220960392223463,-0.14402077302107907,0.22575335753511522,-0.4338395905416985
finetune,7,alt180,new_3_5s,44,-0.07587662908434868,0.06335354935039174,-0.09357846220745492,0.13923017843474042,0.15693201155784664,0.302653126665618,-0.23929957731522628
finetune,7,alt180,new_5_10s,102,-0.07587662908434868,-0.2569248419181973,0.023995593535306246,-0.18104821283384864,-0.28092043545350354,0.420203103422782,-0.6771279453409793
finetune,7,alt180,no_entry_10s,1198,-0.07587662908434868,-0.37429497884788576,-0.08922636983085376,-0.2984183497635371,-0.285068609017032,,
finetune,11,alt180,within_3s,656,0.8819394177645445,1.3959432033503927,0.9117732766259662,0.5140037855858481,0.4841699267244265,,
finetune,11,alt180,within_5s,700,0.8819394177645445,1.3826115952219282,0.9235203516081963,0.5006721774573837,0.4590912436137319,,
finetune,11,alt180,within_10s,802,0.8819394177645445,1.392449714373472,0.9452857176479287,0.5105102966089274,0.4471639967255433,,
finetune,11,alt180,ongoing,566,0.8819394177645445,1.436021928020585,0.8755881699050746,0.5540825102560405,0.5604337581155104,1.3205395886384308,0.11548233938215424
finetune,11,alt180,new_0_3s,90,0.8819394177645445,1.143892557091183,1.1393373922262402,0.26195313932663855,0.0045551648649428955,1.5601795594650636,-0.4162870023738805
finetune,11,alt180,new_3_5s,44,0.8819394177645445,1.1838494376702742,1.0986585604341723,0.30191001990572963,0.08519087723610186,1.5853686958892161,-0.40151925821894197
finetune,11,alt180,new_5_10s,102,0.8819394177645445,1.4599662183546553,1.0946558767441283,0.5780268005901108,0.365310341610527,1.560263537129331,-0.10029731877467563
finetune,11,alt180,no_entry_10s,1198,0.8819394177645445,0.5401787684487181,0.8395322954719954,-0.3417606493158264,-0.2993535270232772,,
finetune,23,alt180,within_3s,656,0.8881157340556383,1.602284243512081,0.9114338449796197,0.7141685094564427,0.6908503985324613,,
finetune,23,alt180,within_5s,700,0.8881157340556383,1.57120048978499,0.9216272898555536,0.6830847557293518,0.6495731999294364,,
finetune,23,alt180,within_10s,802,0.8881157340556383,1.5862551095554063,0.9660918799517788,0.698139375499768,0.6201632296036275,,
finetune,23,alt180,ongoing,566,0.8881157340556383,1.6747803723327683,0.8719326858752965,0.7866646382771301,0.8028476864574718,1.5090817535486418,0.1656986187841265
finetune,23,alt180,new_0_3s,90,0.8881157340556383,1.146364144484202,1.1598522455690297,0.25824841042856383,-0.013488101084827564,1.6708818711588138,-0.5245177266746117
finetune,23,alt180,new_3_5s,44,0.8881157340556383,1.1077699796719984,1.0736022861876573,0.21965424561636016,0.03416769348434112,1.7517129090349803,-0.6439429293629819
finetune,23,alt180,new_5_10s,102,0.8881157340556383,1.6895711275876737,1.2712410276709698,0.8014553935320354,0.4183300999167039,1.8684469505203172,-0.17887582293264348
finetune,23,alt180,no_entry_10s,1198,0.8881157340556383,0.4207469701567954,0.8359146747829301,-0.46736876389884285,-0.4151677046261347,,
finetune,47,alt180,within_3s,656,0.41771840342879296,0.7748951585736217,0.4518936505988297,0.3571767551448287,0.323001507974792,,
finetune,47,alt180,within_5s,700,0.41771840342879296,0.7835444049324308,0.4595068695742962,0.36582600150363787,0.3240375353581346,,
finetune,47,alt180,within_10s,802,0.41771840342879296,0.8128701746463776,0.4804752451224816,0.3951517712175846,0.332394929523896,,
finetune,47,alt180,ongoing,566,0.41771840342879296,0.8305978914031713,0.44488426110498847,0.41287948797437835,0.38571363029818284,0.7852858570495705,0.04531203435360076
finetune,47,alt180,new_0_3s,90,0.41771840342879296,0.4245868610011207,0.4959749223045438,0.006868457572327735,-0.07138806130342312,0.8705567371107326,-0.44596987610961186
finetune,47,alt180,new_3_5s,44,0.41771840342879296,0.91249680519104,0.5730130433903422,0.4947784017622471,0.33948376180069784,0.8602101940994333,0.052286611091606705
finetune,47,alt180,new_5_10s,102,0.41771840342879296,1.0141254569969924,0.6243758616296347,0.5964070535681995,0.38974959536735776,0.8946150009411461,0.11951045605584631
finetune,47,alt180,no_entry_10s,1198,0.41771840342879296,0.15318441301434985,0.37570589338009647,-0.26453399041444314,-0.22252148036574662,,
finetune,59,alt180,within_3s,656,0.18931706403940915,0.7759444332886033,0.19504980049583287,0.5866273692491941,0.5808946327927704,,
