method,seed,stratum_name,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
finetune,23,new_0_3s,24.523931226311625,22.816232706093746,24.28649318790823,-1.7076985202178776,-1.4702604818144864,26.599574521789698,-3.783341815695951
finetune,23,new_3_5s,24.523931226311625,22.78114343505943,24.804514974340584,-1.742787791252193,-2.0233715392811567,27.024845683280528,-4.2437022482210995
finetune,23,new_5_10s,24.523931226311625,24.367479536010165,24.97326176901509,-0.15645169030146006,-0.6057822330049281,27.21381174539342,-2.846332209383256
finetune,23,no_entry_10s,24.523931226311625,22.88063191499683,24.379473672926927,-1.6432993113147951,-1.4988417579301,,
finetune,23,ongoing,24.523931226311625,28.520234442997697,24.78107623722421,3.9963032166860715,3.7391582057734865,27.18099615225926,1.3392382907384281
finetune,23,within_10s,24.523931226311625,27.134270391125586,24.778188282874254,2.610339164813965,2.356082108251333,,
finetune,23,within_3s,24.523931226311625,27.922817871700467,24.741506092862473,3.3988866453888447,3.181311778837996,,
finetune,23,within_5s,24.523931226311625,27.58603819198845,24.74969991489393,3.062106965676825,2.836338277094517,,
finetune,47,new_0_3s,17.32681603463292,16.15632061910846,17.224265926131803,-1.1704954155244605,-1.067945307023344,20.156868861624737,-4.000548242516278
finetune,47,new_3_5s,17.32681603463292,16.254529281133028,17.637749468322113,-1.0722867534998932,-1.3832201871890872,20.3650288502807,-4.1104995691476764
finetune,47,new_5_10s,17.32681603463292,17.87069710318235,17.661319256000006,0.5438810685494274,0.20937784718234614,20.393750482263233,-2.5230533790808836
finetune,47,no_entry_10s,17.32681603463292,15.395241066217697,17.189532234942583,-1.9315749684152266,-1.7942911687248873,,
finetune,47,ongoing,17.32681603463292,21.869194984943157,17.58313522205784,4.542378950310235,4.2860597628853165,20.58106200084693,1.288132984096228
finetune,47,within_10s,17.32681603463292,20.515866896117217,17.578500033097765,3.1890508614842963,2.9373668630194514,,
finetune,47,within_3s,17.32681603463292,21.280576216225423,17.559926573127598,3.9537601815925014,3.7206496430978264,,
finetune,47,within_5s,17.32681603463292,20.94696305647895,17.567707160260966,3.6201470218460265,3.3792558962179813,,
finetune,59,new_0_3s,17.352812798020246,16.906584466751468,17.452275144507382,-0.4462283312687763,-0.5456906777559143,21.255430094331523,-4.348845627580057
finetune,59,new_3_5s,17.352812798020246,16.986232945536457,17.802016844134847,-0.36657985248378544,-0.8157838985983901,21.425075033466445,-4.438842087929986
finetune,59,new_5_10s,17.352812798020246,18.205424224565597,18.069752343770283,0.8526114265453566,0.13567188079531828,21.871248471083305,-3.665824246517707
finetune,59,no_entry_10s,17.352812798020246,14.684086786786173,17.122798743558526,-2.668726011234071,-2.4387119567723547,,
finetune,59,ongoing,17.352812798020246,23.234412180079392,17.69684158127028,5.881599382059146,5.53757059880911,21.651372751498855,1.5830394285805331
finetune,59,within_10s,17.352812798020246,21.646709135395188,17.741894230822883,4.2938963373749415,3.904814904572304,,
finetune,59,within_3s,17.352812798020246,22.57840865928501,17.682141216461794,5.22559586126477,4.896267442823222,,
finetune,59,within_5s,17.352812798020246,22.206970089943827,17.69282285635105,4.854157291923585,4.5141472335927775,,
finetune,71,new_0_3s,16.635204686632754,15.136758969104495,16.38556674099524,-1.4984457175282595,-1.2488077718907493,20.36645741946753,-5.229698450363038
