method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
gss_adapted,107,wind5,638,12,22,431,0.018461538461538463,0.04856512141280353,640,10,20,433,0.015384615384615385,0.04415011037527594,-0.003076923076923078,-0.004415011037527589
gss_adapted,107,speed15,523,15,12,787,0.027881040892193308,0.015018773466833541,524,14,12,787,0.026022304832713755,0.015018773466833541,-0.001858736059479553,0.0
gss_adapted,107,alt180,598,7,11,653,0.011570247933884297,0.016566265060240965,597,8,11,653,0.013223140495867768,0.016566265060240965,0.0016528925619834715,0.0
gss_adapted,107,speed10,534,15,16,842,0.0273224043715847,0.018648018648018648,532,17,16,842,0.030965391621129327,0.018648018648018648,0.0036429872495446283,0.0
cgsm_dual,7,baseline,626,11,14,537,0.01726844583987441,0.025408348457350273,627,10,14,537,0.015698587127158554,0.025408348457350273,-0.0015698587127158554,0.0
cgsm_dual,7,wind5,641,9,20,433,0.013846153846153847,0.04415011037527594,640,10,18,435,0.015384615384615385,0.039735099337748346,0.001538461538461539,-0.0044150110375275955
cgsm_dual,7,speed15,526,12,12,787,0.022304832713754646,0.015018773466833541,524,14,12,787,0.026022304832713755,0.015018773466833541,0.0037174721189591094,0.0
cgsm_dual,7,alt180,597,8,12,652,0.013223140495867768,0.018072289156626505,597,8,10,654,0.013223140495867768,0.015060240963855422,0.0,-0.0030120481927710836
cgsm_dual,7,speed10,536,13,17,841,0.023679417122040074,0.019813519813519812,536,13,18,840,0.023679417122040074,0.02097902097902098,0.0,0.0011655011655011677
cgsm_dual,11,baseline,621,16,12,539,0.02511773940345369,0.021778584392014518,626,11,14,537,0.01726844583987441,0.025408348457350273,-0.00784929356357928,0.0036297640653357548
cgsm_dual,11,wind5,638,12,17,436,0.018461538461538463,0.037527593818984545,641,9,17,436,0.013846153846153847,0.037527593818984545,-0.004615384615384617,0.0
cgsm_dual,11,speed15,524,14,11,788,0.026022304832713755,0.01376720901126408,525,13,11,788,0.024163568773234202,0.01376720901126408,-0.001858736059479553,0.0
cgsm_dual,11,alt180,597,8,14,650,0.013223140495867768,0.02108433734939759,597,8,11,653,0.013223140495867768,0.016566265060240965,0.0,-0.004518072289156624
cgsm_dual,11,speed10,534,15,17,841,0.0273224043715847,0.019813519813519812,533,16,21,837,0.029143897996357013,0.024475524475524476,0.0018214936247723142,0.004662004662004664
cgsm_dual,23,baseline,625,12,13,538,0.018838304552590265,0.023593466424682397,624,13,13,538,0.02040816326530612,0.023593466424682397,0.0015698587127158554,0.0
cgsm_dual,23,wind5,641,9,19,434,0.013846153846153847,0.04194260485651214,636,14,19,434,0.021538461538461538,0.04194260485651214,0.007692307692307691,0.0
