method,seed,learn_step,ordinary,cpa
reservoir,7,6,0.0778374473253887,0.015443444252014013
reservoir,7,7,0.18583469731467123,0.17718815803527826
reservoir,11,1,-0.17358875274658203,-0.05257987976074263
reservoir,11,2,-0.17782473564147971,-0.10927081108093262
reservoir,11,3,-0.040002981821696114,-0.0575408140818278
reservoir,11,4,0.022285223007201926,0.07203567028045654
reservoir,11,5,0.16782231330871572,0.2707295656204223
reservoir,11,6,0.16792084773381544,0.23956072330474842
reservoir,11,7,0.24739377839224694,0.3078716312135969
reservoir,23,1,-0.6841964721679688,-0.27150392532348633
reservoir,23,2,-0.4357724189758301,-0.306911826133728
reservoir,23,3,-0.2944387594858804,-0.3042414188385008
reservoir,23,4,-0.27406379580497725,-0.35217937827110307
reservoir,23,5,-0.09907951354980474,-0.12762315273284902
reservoir,23,6,-0.08054373661677054,-0.1796394785245259
reservoir,23,7,0.021444729396275015,-0.03035736083984362
reservoir,47,1,-0.37931418418884233,-0.3591904640197754
reservoir,47,2,0.105113744735718,-0.08088767528533958
reservoir,47,3,0.2335155804951988,0.266043742497762
reservoir,47,4,0.21507716178894065,0.10671257972717285
reservoir,47,5,0.11296491622924823,-0.06315362453460689
reservoir,47,6,0.19197895129521705,-0.026457468668619904
reservoir,47,7,0.204642346927098,0.04653802939823699
