seed,analysis,condition,method,final_risk_FDE_m,high_risk_cover_max,weighted_cover_mean,forgetting_risk_fde,cover_residual,forgetting_residual_m,final_fde_residual_m
23,budget,500,gss_adapted,10.6100754737854,0.7893420457839966,0.326738029718399,-0.4702751159667965,0.017661054929097475,-0.2166215260823569,-0.23044983545939068
23,budget,500,h2c_adapted,10.957191308339436,0.8034034967422485,0.3054680228233337,-0.2522325515747063,-0.0036089519659678326,0.0014210383097332802,0.11666599909464459
23,budget,500,reservoir,10.954309145609535,0.8327115774154663,0.2950248718261719,-0.038453102111816,-0.014052102963129642,0.2152004877726236,0.11378383636474432
47,budget,500,gss_adapted,10.890017032623293,0.860127329826355,0.3268253803253174,-0.3717144012451172,0.01714805761973065,-0.1855151494344077,-0.1692638397216779
47,budget,500,h2c_adapted,10.81963857014974,0.9069479703903198,0.3053261041641235,-0.5475429534912106,-0.004351218541463253,-0.3613437016805011,-0.23964230219523053
47,budget,500,reservoir,11.46818701426188,0.8820626139640808,0.2968804836273193,0.3606595993041995,-0.012796839078267452,0.546858851114909,0.40890614191690844
7,budget,1000,gss_adapted,10.696280161539711,0.8215203881263733,0.2677121758460998,-0.3263036727905277,0.006079326073328617,-0.10940812428792365,-0.09365479151408174
7,budget,1000,h2c_adapted,10.754803657531738,0.7840843200683594,0.2615316212177276,-0.302171516418457,-0.00010122855504357542,-0.08527596791585298,-0.03513129552205463
7,budget,1000,reservoir,10.918721040089926,0.6997917890548706,0.2556547522544861,-0.0222114562988274,-0.005978097518285097,0.19468409220377664,0.1287860870361328
11,budget,1000,gss_adapted,10.572216510772703,0.8279904723167419,0.2723969221115112,-0.433536529541017,0.008803367614746038,-0.13812999725341868,-0.13887707392374793
11,budget,1000,h2c_adapted,10.610375881195068,0.8193714618682861,0.2647118866443634,-0.4369623184204105,0.0011183321475982666,-0.14155578613281217,-0.10071770350138287
11,budget,1000,reservoir,10.950688362121582,0.7889379262924194,0.2536718547344208,-0.0157207489013675,-0.00992169976234436,0.27968578338623085,0.2395947774251308
23,budget,1000,gss_adapted,10.863938490549724,0.7143548727035522,0.2739654779434204,-0.3009313583374027,0.010908484458923395,-0.06333700815836629,0.012635231018068183
23,budget,1000,h2c_adapted,10.796219825744627,0.7807549834251404,0.2615902423858642,-0.3437770843505855,-0.0014667510986328125,-0.10618273417154911,-0.05508343378702918
23,budget,1000,reservoir,10.89375146230062,0.776542067527771,0.2536152601242065,-0.068074607849121,-0.009441733360290527,0.1695197423299154,0.04244820276896455
47,budget,1000,gss_adapted,10.910929361979166,0.8643988370895386,0.2731779217720032,-0.3478784561157223,0.009428799152374268,-0.18209285736083988,-0.15067052841186523
47,budget,1000,h2c_adapted,11.080578645070394,0.7757688164710999,0.2635737657546997,-0.0689701080322258,-0.00017535686492919922,0.09681549072265665,0.018978754679363163
47,budget,1000,reservoir,11.193291664123535,0.8167470097541809,0.2544956803321838,-0.0805082321166992,-0.009253442287445124,0.08527736663818324,0.13169177373250385
