analysis,condition,seed,method,weighted_cover_mean,high_risk_cover_max,final_risk_FDE_m,forgetting_risk_fde,cover_residual,forgetting_residual_m
budget,500,7,reservoir,0.2922099530696869,0.8139054775238037,11.355939229329428,0.3770954132080078,-0.016074096163113893,0.47859794298807784
budget,500,11,gss_adapted,0.3232132196426391,0.8252286911010742,10.74810536702474,-0.4222600936889652,0.014929170409838322,-0.3207575639088952
budget,500,11,h2c_adapted,0.3073430061340332,0.922202169895172,10.855929374694824,-0.2380035400390632,-0.00094104309876758,-0.1365010102589932
budget,500,11,reservoir,0.2932455539703369,0.8063080906867981,11.71566359202067,0.9749813079833972,-0.015038495262463869,1.0764838377634671
budget,500,23,gss_adapted,0.326738029718399,0.7893420457839966,10.6100754737854,-0.4702751159667965,0.01845398048559821,-0.3687725861867265
budget,500,23,h2c_adapted,0.3054680228233337,0.8034034967422485,10.957191308339436,-0.2522325515747063,-0.0028160264094670984,-0.1507300217946363
budget,500,23,reservoir,0.2950248718261719,0.8327115774154663,10.954309145609535,-0.038453102111816,-0.013259177406628908,0.063049427668254
budget,500,47,gss_adapted,0.3268253803253174,0.860127329826355,10.890017032623293,-0.3717144012451172,0.0185413310925166,-0.27021187146504716
budget,500,47,h2c_adapted,0.3053261041641235,0.9069479703903198,10.81963857014974,-0.5475429534912106,-0.0029579450686773034,-0.4460404237111406
budget,500,47,reservoir,0.2968804836273193,0.8820626139640808,11.46818701426188,0.3606595993041995,-0.011403565605481503,0.4621621290842695
budget,1000,7,gss_adapted,0.2677121758460998,0.8215203881263733,10.696280161539711,-0.3263036727905277,0.004704045752684238,-0.09738316535949737
budget,1000,7,h2c_adapted,0.2615316212177276,0.7840843200683594,10.754803657531738,-0.302171516418457,-0.001476508875687954,-0.0732510089874267
budget,1000,7,reservoir,0.2556547522544861,0.6997917890548706,10.918721040089926,-0.0222114562988274,-0.007353377838929476,0.20670905113220292
budget,1000,11,gss_adapted,0.2723969221115112,0.8279904723167419,10.572216510772703,-0.433536529541017,0.009388792018095615,-0.2046160221099867
budget,1000,11,h2c_adapted,0.2647118866443634,0.8193714618682861,10.610375881195068,-0.4369623184204105,0.0017037565509478436,-0.20804181098938018
budget,1000,11,reservoir,0.2536718547344208,0.7889379262924194,10.950688362121582,-0.0157207489013675,-0.009336275358994783,0.21319975852966283
budget,1000,23,gss_adapted,0.2739654779434204,0.7143548727035522,10.863938490549724,-0.3009313583374027,0.01095734785000485,-0.07201085090637238
budget,1000,23,h2c_adapted,0.2615902423858642,0.7807549834251404,10.796219825744627,-0.3437770843505855,-0.0014178877075513574,-0.1148565769195552
budget,1000,23,reservoir,0.2536152601242065,0.776542067527771,10.89375146230062,-0.068074607849121,-0.009392869969209072,0.1608458995819093
budget,1000,47,gss_adapted,0.2731779217720032,0.8643988370895386,10.910929361979166,-0.3478784561157223,0.010169791678587614,-0.118957948684692
budget,1000,47,h2c_adapted,0.2635737657546997,0.7757688164710999,11.080578645070394,-0.0689701080322258,0.0005656356612841473,0.1599503993988045
budget,1000,47,reservoir,0.2544956803321838,0.8167470097541809,11.193291664123535,-0.0805082321166992,-0.008512449761231777,0.1484122753143311
