example_index,risk_rank,gradient_magnitude_rank,risk_score,gradient_magnitude,high_risk
321,0.2495,0.76825,0.21270129,1.098383,False
322,0.67525,0.99275,0.69564134,10.317949,True
323,0.83475,0.517,0.8792777,0.64601046,True
324,0.929,0.4585,0.95497483,0.58554107,True
325,0.1935,0.76725,0.1523963,1.0949379,False
326,0.93125,0.40475,0.9556186,0.5262284,True
327,0.819,0.9815,0.8628719,5.6557064,True
328,0.8795,0.97575,0.9173696,4.1673923,True
329,0.6515,0.0975,0.6682795,0.24309267,True
330,0.85275,0.54475,0.892595,0.67663103,True
331,0.95525,0.8135,0.97030574,1.238657,True
332,0.66825,0.4285,0.6878087,0.5504437,True
333,0.92475,0.6625,0.9520814,0.8596027,True
334,0.68,0.99,0.7005961,8.950852,True
335,0.917,0.617,0.947993,0.77152175,True
336,0.517,0.53675,0.52227813,0.66730547,False
337,0.635,0.6535,0.64939183,0.8419268,True
338,0.9665,0.792,0.97620744,1.1729318,True
339,0.90575,0.5105,0.9403217,0.6385003,True
340,0.87675,0.11575,0.91433895,0.2602431,True
341,0.97475,0.6885,0.98212135,0.90509194,True
342,0.93625,0.638,0.95901316,0.8107377,True
343,0.653,0.528,0.6712051,0.657507,True
344,0.20325,0.37425,0.16390195,0.4955352,False
345,0.086,0.12725,0.036592547,0.27479213,False
346,0.20175,0.9855,0.16241425,7.1073275,False
347,0.25475,0.82425,0.2197013,1.2866479,False
348,0.045,0.52875,0.008444983,0.6587634,False
349,0.249,0.6485,0.21206929,0.8292895,False
350,0.0135,0.131,0.00016553381,0.27910352,False
351,0.00025,0.38,3.009877e-13,0.50027627,False
352,0.62,0.495,0.63532317,0.6226876,True
353,0.3665,0.5955,0.34848425,0.7383682,False
354,0.03475,0.716,0.004492076,0.9789206,False
355,0.88175,0.57925,0.91936797,0.7217297,True
356,0.88875,0.749,0.92469376,1.0523427,True
357,0.28925,0.1,0.26033565,0.24621555,False
358,0.41725,0.6415,0.39843065,0.817527,False
359,0.17,0.8245,0.12530944,1.2896663,False
360,0.44175,0.4945,0.4312126,0.62220585,False
361,0.20775,0.3145,0.16998237,0.43081468,False
362,0.914,0.644,0.9454874,0.82299614,True
363,0.6435,0.66225,0.65878016,0.85887194,True
364,0.4095,0.33725,0.38883495,0.45621362,False
365,0.48825,0.357,0.48484355,0.48024344,False
366,0.189,0.48025,0.14563291,0.60691947,False
367,0.0585,0.62325,0.017110063,0.7845222,False
368,0.102,0.67525,0.051468786,0.88183373,False
369,0.228,0.5675,0.18909499,0.7067615,False
370,0.9515,0.71925,0.967728,0.98795426,True
371,0.672,0.4045,0.69179326,0.5255729,True
372,0.61525,0.663,0.6305087,0.86003613,True
373,0.711,0.60125,0.7359248,0.7466766,True
374,0.50325,0.017,0.5066908,0.14308307,False
375,0.9895,0.5085,0.991038,0.6358693,True
376,0.7355,0.6345,0.7647158,0.80394876,True
377,0.6285,0.60025,0.6429575,0.74444884,True
378,0.28725,0.82625,0.25814468,1.2979307,False
379,0.0845,0.8485,0.0357084,1.4092007,False
380,0.27875,0.35225,0.24817775,0.47431657,False
381,0.00275,0.897,1.3054022e-07,1.6920453,False
382,0.87725,0.966,0.91533077,3.0653238,True
383,0.9675,0.726,0.97667134,0.9999328,True
384,0.939,0.98575,0.96064186,7.2442408,True
385,0.36275,0.586,0.34553796,0.72875124,False
386,0.6135,0.761,0.62801486,1.0839823,True
387,0.68525,0.2475,0.7060851,0.3744257,True
388,0.55225,0.49175,0.5639439,0.6192015,False
389,0.114,0.77875,0.06319736,1.1326694,False
390,0.7145,0.243,0.73930734,0.37093136,True
391,0.96325,0.488,0.97484344,0.6155309,True
392,0.52475,0.99125,0.53125817,9.738415,False
393,0.93725,0.92075,0.9597675,1.933078,True
394,0.95875,0.8,0.9724478,1.1938839,True
395,0.7735,0.63575,0.80914706,0.8052897,True
396,0.61075,0.181,0.62535465,0.31771964,True
397,0.38475,0.99575,0.36333746,11.260716,False
398,0.8425,0.39925,0.88623136,0.521637,True
399,0.5425,0.4935,0.551267,0.6213776,False
400,0.92375,0.32775,0.95164657,0.44537005,True
401,0.37775,0.6945,0.35692635,0.920907,False
402,0.324,0.98975,0.29827416,8.695953,False
403,0.846,0.465,0.8872734,0.59057,True
404,0.418,0.42475,0.39921087,0.5459206,False
405,0.6955,0.11275,0.71929836,0.25692257,True
406,0.86175,0.42675,0.90170634,0.5493824,True
407,0.617,0.989,0.63267,8.588931,True
408,0.9285,0.94,0.9545414,2.213148,True
409,0.829,0.6105,0.8733648,0.7603092,True
410,0.69875,0.35625,0.7219503,0.47921285,True
411,0.6475,0.3115,0.6642271,0.4279739,True
412,0.25275,0.8045,0.21731831,1.2108792,False
413,0.23075,0.99075,0.19218124,9.498698,False
414,0.91275,0.79875,0.9446585,1.1907508,True
415,0.42025,0.69275,0.40328106,0.91714644,False
416,0.37375,0.66175,0.35445985,0.85816145,False
417,0.29375,0.59,0.2662982,0.7321625,False
418,0.95625,0.51875,0.9708055,0.6488788,True
419,0.13925,0.9525,0.087086044,2.5236013,False
420,0.63725,0.6475,0.651531,0.82831156,True
421,0.36225,0.76875,0.3450813,1.0986483,False
422,0.95075,0.44475,0.9669692,0.5717766,True
423,0.8535,0.619,0.8934538,0.778232,True
424,0.17575,0.39,0.12963699,0.5118753,False
425,0.75075,0.29325,0.7846586,0.4149718,True
426,0.47775,0.84375,0.4752083,1.3838927,False
427,0.8065,0.38375,0.8490684,0.50514644,True
428,0.13275,0.8955,0.08027547,1.6806107,False
429,0.9525,0.9625,0.9685969,2.9246974,True
430,0.89475,0.0225,0.93075466,0.15235935,True
431,0.8765,0.3905,0.9142285,0.5121999,True
432,0.8175,0.32675,0.8614602,0.44348857,True
433,0.88525,0.301,0.9212001,0.41988775,True
434,0.80675,0.487,0.84956723,0.61509573,True
435,0.25975,0.72525,0.22658195,0.998332,False
436,0.368,0.20625,0.35024494,0.3377198,False
437,0.92925,0.43975,0.95510525,0.5660918,True
438,0.53975,0.5305,0.54848915,0.65940887,False
439,0.3965,0.6165,0.3730483,0.77121085,False
440,0.37325,0.565,0.35366917,0.70234466,False
441,0.54175,0.831,0.55088824,1.3175507,False
442,0.19025,0.32375,0.14732365,0.441283,False
443,0.127,0.605,0.07612386,0.7529962,False
444,0.8265,0.421,0.8709213,0.5423684,True
445,0.886,0.47375,0.92198676,0.6000652,True
446,0.693,0.77175,0.7175213,1.107677,True
447,0.54975,0.89175,0.55910707,1.6374594,False
448,0.9315,0.414,0.95584136,0.53470296,True
449,0.5865,0.435,0.5999456,0.5584532,False
450,0.661,0.95975,0.68082726,2.801491,True
451,0.81875,0.4425,0.86265796,0.56943023,True
452,0.581,0.5915,0.5955209,0.73269373,False
453,0.7745,0.42625,0.81043506,0.54894435,True
454,0.58825,0.4875,0.60202485,0.6153288,False
455,0.79975,0.93325,0.8410391,2.1155038,True
