method,seed,task,n,cpa_n,overall,cpa,initial_overall_fde,initial_cpa_fde,random,cpa_minus_random,permutation_p_random,matched,cpa_minus_matched,permutation_p_matched,cpa_minus_overall
reservoir,23,alt180,2000,802,-0.4905531207770109,-0.4285769586328259,11.77997820354998,11.771105455601601,-0.47291980172717435,0.04434284309434844,0.6343656343656343,-0.49445144099743854,0.06587448236461263,0.44555444555444557,0.061976162144185
reservoir,23,speed10,2000,674,0.09397550882399082,0.22451076375801415,8.477493574082851,8.528214000939261,0.08455402902378985,0.13995673473422432,0.04695304695304695,0.093285301577528,0.13122546218048614,0.07292707292707293,0.13053525493402335
reservoir,47,baseline,2000,887,-0.20856627881526946,-0.21883135469548462,12.640376070201397,12.007850820141957,-0.24621867768964992,0.027387322994165297,0.8181818181818182,-0.2659768016991874,0.047145447003702795,0.6453546453546454,-0.010265075880215163
reservoir,47,wind5,2000,986,0.45741064283251764,0.32127329930814236,11.903075527012348,11.445862908573712,0.4440038748461338,-0.12273057553799144,0.2837162837162837,0.43016129726117536,-0.108887997953033,0.33266733266733267,-0.1361373435243753
reservoir,47,speed15,2000,702,-0.24557410391420126,-0.3102142082108052,9.834944151066244,10.564469555567982,-0.2612535123498654,-0.04896069586093982,0.7172827172827173,-0.4383380749333906,0.1281238667225854,0.2757242757242757,-0.06464010429660394
reservoir,47,alt180,2000,802,-0.08971360263973474,0.19555469204734388,11.787128516972064,11.612833488983407,-0.07471954123830835,0.27027423328565225,0.001998001998001998,-0.07581685294595439,0.2713715449932983,0.001998001998001998,0.2852682946870786
reservoir,47,speed10,2000,674,0.3288700862005353,1.0114725165798686,8.482341730438172,8.47548338563046,0.32123995435168495,0.6902325622281836,0.000999000999000999,0.363333095870358,0.6481394207095106,0.000999000999000999,0.6826024303793332
reservoir,59,baseline,2000,887,0.09278190842270852,-0.25420233708089207,12.427564240589739,11.804718591886013,0.05398246026762792,-0.30818479734852,0.023976023976023976,0.11884651234944382,-0.3730488494303359,0.003996003996003996,-0.3469842455036006
reservoir,59,wind5,2000,986,0.04909719723463059,-0.08414004141612179,11.72210585950315,11.21014007626755,0.050661866185783035,-0.13480190760190483,0.11288711288711288,0.012317401274355506,-0.09645744269047729,0.24875124875124874,-0.13323723865075238
reservoir,59,speed15,2000,702,-0.3616160516887903,-0.6415524209114561,9.704166574135423,10.44483273056073,-0.3685365725987104,-0.2730158483127457,0.03496503496503497,-0.5638829158376708,-0.07766950507378534,0.5004995004995005,-0.27993636922266585
reservoir,59,alt180,2000,802,-0.554489860728383,-0.44650789968985277,11.980522072464227,11.749698979153003,-0.5608317523025049,0.11432385261265215,0.2977022977022977,-0.5644878935393871,0.11797999384953434,0.1968031968031968,0.10798196103853025
reservoir,59,speed10,2000,674,0.7186870691031217,1.031934411770689,8.365734635196626,8.380614861713319,0.696310714608355,0.335623697162334,0.000999000999000999,0.7048710945144927,0.3270633172561963,0.000999000999000999,0.31324734266756726
reservoir,71,baseline,2000,887,1.012819450467825,1.499738462109711,12.592665923967958,11.92333992727714,0.9938313959526166,0.5059070661570944,0.001998001998001998,0.9852855145870868,0.5144529475226242,0.000999000999000999,0.486919011641886
reservoir,71,wind5,2000,986,1.2667604790776967,1.0582769443611586,12.04296884970367,11.8036704613217,1.2694606929641294,-0.21118374860297084,0.08091908091908091,1.2319245331658215,-0.1736475888046629,0.10589410589410589,-0.20848353471653813
reservoir,71,speed15,2000,702,0.5956544291079044,0.36497315463007685,9.712263623163103,10.70814479424743,0.5647787018702859,-0.19980554724020905,0.18081918081918083,0.43738951080390936,-0.07241635617383252,0.6113886113886113,-0.2306812744778276
reservoir,71,alt180,2000,802,0.4816930934935808,0.9691442622805474,11.922265445202589,11.588495936179696,0.5343218233801871,0.4348224389003603,0.000999000999000999,0.5558928288109557,0.4132514334695917,0.001998001998001998,0.4874511687869666
reservoir,71,speed10,2000,674,0.689593016423285,0.7029777876258958,8.298191370852292,8.3103546758876,0.6914077909240168,0.01156999670187897,0.8851148851148851,0.6911389231991557,0.011838864426740092,0.8921078921078921,0.013384771202610835
reservoir,89,baseline,2000,887,-0.09902775820344686,0.07043211321685602,12.658665160261094,12.014187332944106,-0.1126078964177713,0.18304000963462733,0.08291708291708291,-0.09547883804013851,0.16591095125699454,0.08891108891108891,0.1694598714203029
reservoir,89,wind5,2000,986,0.22711637303233145,0.24027381773894504,12.032359912514687,11.732537549722025,0.23240461135385587,0.007869206385089172,0.922077922077922,0.19306152004654,0.047212297692405036,0.5234765234765235,0.013157444706613591
