method,seed,task,initial_cpa,initial_matched,initial_residual_m,standardized_residual
finetune,71,alt180,11.648783683776855,11.875773001192812,-0.2269893174159563,-0.02250575684220172
finetune,71,speed10,8.179583549499512,8.315084137619426,-0.13550058811991406,-0.02239261850007683
finetune,89,baseline,12.01418685913086,12.29778104140229,-0.28359418227143074,-0.025425688317168734
finetune,89,wind5,11.338998794555664,11.558064712955792,-0.219065918400128,-0.0178828792107191
finetune,89,speed15,9.942282676696777,9.8244011646662,0.11788151203057673,0.01701493708810083
finetune,89,alt180,11.622932434082031,11.888050434595332,-0.2651180005133007,-0.02475961683246933
finetune,89,speed10,8.240323066711426,8.324531360443693,-0.08420829373226724,-0.014245902441601224
finetune,107,baseline,12.581292152404785,12.857828714398682,-0.27653656199389687,-0.02401263379373241
finetune,107,wind5,11.272773742675781,11.48292880972307,-0.21015506704728892,-0.016829797301378267
finetune,107,speed15,9.684684753417969,9.534117391646078,0.15056736177189123,0.02131885648238743
finetune,107,alt180,11.812980651855469,12.013222808255222,-0.20024215639975296,-0.01906529620196381
finetune,107,speed10,8.284795761108398,8.362077964165797,-0.07728220305739875,-0.01296773069740771
reservoir,7,baseline,12.06606674194336,12.330600118959635,-0.2645333770162761,-0.022818971052572072
reservoir,7,wind5,11.971917152404785,12.281156545962087,-0.3092393935573021,-0.025636185216771325
reservoir,7,speed15,9.95739459991455,9.834577517631727,0.12281708228282362,0.018234522136947404
reservoir,7,alt180,11.686601638793945,11.992589899726639,-0.3059882609326934,-0.02990624090999426
reservoir,7,speed10,8.18954849243164,8.190483631649075,-0.0009351392174341555,-0.00016089749790260198
reservoir,11,baseline,11.817341804504395,12.046919969453349,-0.2295781649489541,-0.021030337716057206
reservoir,11,wind5,11.386271476745605,11.636650496757538,-0.25037902001193224,-0.020681238136300215
reservoir,11,speed15,9.962798118591309,9.872911340660519,0.08988677793078992,0.013300281717537464
reservoir,11,alt180,11.676095008850098,11.93550119316786,-0.2594061843177631,-0.026438357237926927
reservoir,11,speed10,8.259839057922363,8.346123201203275,-0.08628414328091161,-0.014645070662988032
reservoir,23,baseline,12.342025756835938,12.569041663119329,-0.2270159062833912,-0.01964311432674148
reservoir,23,wind5,11.557926177978516,11.694960629238802,-0.1370344512602859,-0.011109199165784374
reservoir,23,speed15,9.916983604431152,9.855577370040438,0.06140623439071469,0.009046939450766
reservoir,23,alt180,11.771105766296387,11.95778139333178,-0.18667562703539353,-0.019031246422155645
reservoir,23,speed10,8.528213500976562,8.610205166771433,-0.08199166579487027,-0.014252426669613355
reservoir,47,baseline,12.007850646972656,12.24287388343553,-0.23502323646287415,-0.022038406929862874
reservoir,47,wind5,11.445862770080566,11.685829458565548,-0.23996668848498182,-0.019882988103459422
reservoir,47,speed15,10.564470291137695,10.404437377921536,0.16003291321615976,0.021947935499249633
reservoir,47,alt180,11.612833023071289,11.763567333804104,-0.1507343107328154,-0.015084950047111498
reservoir,47,speed10,8.475482940673828,8.559942064016438,-0.08445912334260974,-0.014005949357429371
reservoir,59,baseline,11.804718017578125,12.038249291588784,-0.23353127401065876,-0.021271000537778948
reservoir,59,wind5,11.210140228271484,11.482420576392515,-0.27228034812103097,-0.022791474694775618
reservoir,59,speed15,10.444832801818848,10.330595374616802,0.11423742720204544,0.016152397555943797
reservoir,59,alt180,11.749700546264648,11.846623914794732,-0.09692336853008321,-0.009473852313937367
reservoir,59,speed10,8.380614280700684,8.48009021310495,-0.09947593240426578,-0.016980254826827083
reservoir,71,baseline,11.923338890075684,12.186003287454065,-0.26266439737838176,-0.023561809691923126
reservoir,71,wind5,11.803669929504395,11.997980508552846,-0.19431057904845161,-0.0159060813037161
reservoir,71,speed15,10.708145141601562,10.663478906338032,0.04466623526353075,0.006290300535298308
reservoir,71,alt180,11.588496208190918,11.747222930713187,-0.15872672252226927,-0.015087460314305126
reservoir,71,speed10,8.310354232788086,8.349149443806102,-0.03879521101801586,-0.006723468987572655
reservoir,89,baseline,12.01418685913086,12.29778104140229,-0.28359418227143074,-0.025425688317168734
reservoir,89,wind5,11.732538223266602,12.051719131140873,-0.3191809078742711,-0.027388219546315453
reservoir,89,speed15,10.003620147705078,9.95370676374843,0.049913383956647905,0.007458002618057633
reservoir,89,alt180,11.743666648864746,12.05208570315059,-0.30841905428584404,-0.02906166973758953
reservoir,89,speed10,8.602129936218262,8.650840002811274,-0.0487100665930118,-0.00818607864008589
reservoir,107,baseline,12.581292152404785,12.857828714398682,-0.27653656199389687,-0.02401263379373241
reservoir,107,wind5,11.56588363647461,11.779200688457875,-0.21331705198326567,-0.016963777183662775
reservoir,107,speed15,10.20623779296875,10.150792211039454,0.055445581929296495,0.008129377621389978
reservoir,107,alt180,11.746054649353027,11.947150882640088,-0.2010962332870605,-0.019615531099239095
reservoir,107,speed10,8.465256690979004,8.539526509601922,-0.07426981862291804,-0.012808826416411621
gss_adapted,7,baseline,12.06606674194336,12.330600118959635,-0.2645333770162761,-0.022818971052572072
gss_adapted,7,wind5,11.306804656982422,11.469935646888935,-0.16313098990651298,-0.013741065437938297
gss_adapted,7,speed15,10.036781311035156,9.928514471081247,0.10826683995390951,0.016145208445765433
gss_adapted,7,alt180,11.596230506896973,11.869472840183096,-0.2732423332861238,-0.02629596146584563
gss_adapted,7,speed10,8.458032608032227,8.532723041953249,-0.07469043392102215,-0.012941843768088929
gss_adapted,11,baseline,11.817341804504395,12.046919969453349,-0.2295781649489541,-0.021030337716057206
gss_adapted,11,wind5,12.094263076782227,12.255178607985165,-0.16091553120293867,-0.013027137685625655
gss_adapted,11,speed15,10.239115715026855,10.135720081139155,0.10339563388770046,0.015053225917895562
gss_adapted,11,alt180,11.543816566467285,11.82158887802514,-0.27777231155785564,-0.027367042365147743
gss_adapted,11,speed10,8.608800888061523,8.691160917989578,-0.08236002992805425,-0.014275229814050782
gss_adapted,23,baseline,12.342025756835938,12.569041663119329,-0.2270159062833912,-0.01964311432674148
gss_adapted,23,wind5,11.327778816223145,11.488474702496557,-0.16069588627341247,-0.013240545992085915
gss_adapted,23,speed15,10.120665550231934,10.008200500765417,0.11246504946651648,0.016682278349924085
gss_adapted,23,alt180,11.615575790405273,11.91547155588345,-0.2998957654781762,-0.028926446014783367
gss_adapted,23,speed10,8.500621795654297,8.546098329900634,-0.0454765342463368,-0.0078080394976665175
gss_adapted,47,baseline,12.007850646972656,12.24287388343553,-0.23502323646287415,-0.022038406929862874
gss_adapted,47,wind5,11.405085563659668,11.631646152925782,-0.22656058926611422,-0.018833876373920623
gss_adapted,47,speed15,10.454787254333496,10.385925994639383,0.06886125969411339,0.009888244355529964
gss_adapted,47,alt180,11.58621597290039,11.809851075051133,-0.22363510215074278,-0.020708992503983947
gss_adapted,47,speed10,8.939871788024902,9.037830836871965,-0.09795904884706275,-0.01642721841259797
gss_adapted,59,baseline,11.804718017578125,12.038249291588784,-0.23353127401065876,-0.021271000537778948
gss_adapted,59,wind5,11.710860252380371,11.96368499677515,-0.2528247443947791,-0.02180897374085005
gss_adapted,59,speed15,10.317177772521973,10.17527594712385,0.14190182539812213,0.020576988566675492
gss_adapted,59,alt180,11.857606887817383,12.086292965751039,-0.2286860779336557,-0.021215498983957082
gss_adapted,59,speed10,8.500748634338379,8.554695729508952,-0.05394709517057272,-0.009206803076763324
gss_adapted,71,baseline,11.923338890075684,12.186003287454065,-0.26266439737838176,-0.023561809691923126
gss_adapted,71,wind5,11.462528228759766,11.657226882648274,-0.1946986538885085,-0.01612052071888869
gss_adapted,71,speed15,10.262539863586426,10.193976113938877,0.06856374964754863,0.010153453916744394
gss_adapted,71,alt180,11.55536937713623,11.835133878667456,-0.27976450153122556,-0.02531417388587626
gss_adapted,71,speed10,8.318707466125488,8.41809230706812,-0.09938484094263167,-0.017067613173341985
gss_adapted,89,baseline,12.01418685913086,12.29778104140229,-0.28359418227143074,-0.025425688317168734
gss_adapted,89,wind5,11.517684936523438,11.7512365889114,-0.2335516523879626,-0.019928446822411783
gss_adapted,89,speed15,10.109882354736328,10.041919625892259,0.06796272884406918,0.009854050107363534
gss_adapted,89,alt180,11.55968952178955,11.929439973950089,-0.36975045216053815,-0.0334830092887509
gss_adapted,89,speed10,8.902555465698242,9.007036550993028,-0.10448108529478617,-0.018244522276312233
gss_adapted,107,baseline,12.581292152404785,12.857828714398682,-0.27653656199389687,-0.02401263379373241
gss_adapted,107,wind5,12.102002143859863,12.360950707905674,-0.2589485640458111,-0.020494218832206437
gss_adapted,107,speed15,10.195463180541992,10.078786073926507,0.11667710661548547,0.017141120165598406
gss_adapted,107,alt180,11.575431823730469,11.958259599167212,-0.38282777543674307,-0.03576624437489249
gss_adapted,107,speed10,8.522284507751465,8.585896427093699,-0.0636119193422342,-0.01098959543416172
cgsm_dual,7,baseline,12.06606674194336,12.330600118959635,-0.2645333770162761,-0.022818971052572072
cgsm_dual,7,wind5,11.740300178527832,11.958503435639773,-0.21820325711194144,-0.018933896698060962
cgsm_dual,7,speed15,10.12840747833252,10.04036213971271,0.08804533861980879,0.01331645771572943
cgsm_dual,7,alt180,11.69119930267334,11.994702490339256,-0.3035031876659158,-0.02824353601358114
cgsm_dual,7,speed10,8.290453910827637,8.360377447187723,-0.0699235363600863,-0.011688675017811382
cgsm_dual,11,baseline,11.817341804504395,12.046919969453349,-0.2295781649489541,-0.021030337716057206
cgsm_dual,11,wind5,12.223880767822266,12.487205076894702,-0.263324309072436,-0.02123466106782555
cgsm_dual,11,speed15,10.171049118041992,10.07554876057171,0.09550035747028218,0.013934725529823907
cgsm_dual,11,alt180,11.885002136230469,12.230131661505473,-0.34512952527500396,-0.034153550328338875
cgsm_dual,11,speed10,8.362913131713867,8.403844532344037,-0.040931400630169534,-0.006934198759667685
cgsm_dual,23,baseline,12.342025756835938,12.569041663119329,-0.2270159062833912,-0.01964311432674148
cgsm_dual,23,wind5,11.365694046020508,11.575319415173714,-0.20962536915320662,-0.017341139272692565
cgsm_dual,23,speed15,9.94429874420166,9.845917810402025,0.09838093379963553,0.014640708102388652
cgsm_dual,23,alt180,11.698173522949219,11.933684279496534,-0.23551075654731513,-0.022355056995210766
cgsm_dual,23,speed10,8.36881160736084,8.425620970103436,-0.05680936274259629,-0.009644040678792761
cgsm_dual,47,baseline,12.007850646972656,12.24287388343553,-0.23502323646287415,-0.022038406929862874
cgsm_dual,47,wind5,11.627212524414062,11.925760466235163,-0.29854794182110034,-0.024128875831985294
cgsm_dual,47,speed15,10.469825744628906,10.352526434296557,0.1172993103323492,0.01669755103623231
cgsm_dual,47,alt180,11.524568557739258,11.813044617003634,-0.2884760592643758,-0.02684479406230295
cgsm_dual,47,speed10,8.394493103027344,8.489990143110916,-0.09549704008357196,-0.01605584215930432
cgsm_dual,59,baseline,11.804718017578125,12.038249291588784,-0.23353127401065876,-0.021271000537778948
cgsm_dual,59,wind5,11.72076416015625,11.942543717475257,-0.22177955731900667,-0.019105076369735772
cgsm_dual,59,speed15,10.265161514282227,10.18650224100151,0.0786592732807172,0.011632418301574458
cgsm_dual,59,alt180,11.652572631835938,11.960689574108457,-0.3081169422725196,-0.028022917205867734
cgsm_dual,59,speed10,8.371917724609375,8.405385009966547,-0.03346728535717247,-0.005688895378589316
cgsm_dual,71,baseline,11.923338890075684,12.186003287454065,-0.26266439737838176,-0.023561809691923126
cgsm_dual,71,wind5,11.74616527557373,11.941320693758874,-0.19515541818514315,-0.016476608118950634
cgsm_dual,71,speed15,10.24402904510498,10.113867258074617,0.13016178703036374,0.01890709268790232
cgsm_dual,71,alt180,11.688790321350098,12.053329664275534,-0.3645393429254362,-0.03162112854853138
cgsm_dual,71,speed10,8.498602867126465,8.60732985497936,-0.10872698785289536,-0.018775304217892815
cgsm_dual,89,baseline,12.01418685913086,12.29778104140229,-0.28359418227143074,-0.025425688317168734
cgsm_dual,89,wind5,11.792579650878906,12.121282281304953,-0.3287026304260472,-0.027794445380008793
cgsm_dual,89,speed15,10.074333190917969,9.9124447426565,0.1618884482614682,0.02376572089841408
cgsm_dual,89,alt180,11.451900482177734,11.782668803992712,-0.3307683218149773,-0.030587688225690395
cgsm_dual,89,speed10,8.487923622131348,8.592682584103208,-0.10475896197186074,-0.018274587677218016
cgsm_dual,107,baseline,12.581292152404785,12.857828714398682,-0.27653656199389687,-0.02401263379373241
cgsm_dual,107,wind5,11.974871635437012,12.177152327785144,-0.20228069234813262,-0.01595813662229894
cgsm_dual,107,speed15,10.354401588439941,10.32511579497927,0.029285793460671172,0.0043517092326454555
cgsm_dual,107,alt180,11.552888870239258,11.963467217442995,-0.410578347203737,-0.03627767004570626
cgsm_dual,107,speed10,8.490750312805176,8.573192812038105,-0.08244249923292912,-0.01397647884026068
dualls_adapted,7,baseline,11.916773796081543,12.167957132940497,-0.2511833368589542,-0.022205384722473583
dualls_adapted,7,wind5,11.392784118652344,11.511235749987511,-0.11845163133516756,-0.009841155444254056
dualls_adapted,7,speed15,9.841623306274414,9.699963451450706,0.14165985482370758,0.021456242060463128
dualls_adapted,7,alt180,11.408782958984375,11.677969170924731,-0.2691862119403563,-0.025441103652857473
dualls_adapted,7,speed10,8.405179023742676,8.510681426489743,-0.10550240274706724,-0.017851789154099875
dualls_adapted,11,baseline,11.945250511169434,12.141922606421968,-0.19667209525253426,-0.018115691021235274
dualls_adapted,11,wind5,11.503462791442871,11.738895175423147,-0.23543238398027633,-0.019344500244912646
dualls_adapted,11,speed15,10.012434959411621,9.925675277356747,0.08675968205487372,0.013065280123229333
dualls_adapted,11,alt180,11.296394348144531,11.523529261722231,-0.2271349135777001,-0.022444212436115735
dualls_adapted,11,speed10,8.399866104125977,8.494673108311718,-0.09480700418574095,-0.016255196004247654
dualls_adapted,23,baseline,11.873208045959473,12.178615528136794,-0.30540748217732094,-0.027219174894636867
dualls_adapted,23,wind5,11.279701232910156,11.467564315389668,-0.18786308247951133,-0.015646262975846273
dualls_adapted,23,speed15,9.915834426879883,9.840345577297049,0.0754888495828343,0.011336991928362055
dualls_adapted,23,alt180,11.54053783416748,11.810499082925611,-0.2699612487581309,-0.025648354452545777
dualls_adapted,23,speed10,8.309224128723145,8.387409646539377,-0.07818551781623206,-0.013290340273750877
dualls_adapted,47,baseline,11.975812911987305,12.225231192157663,-0.2494182801703584,-0.023127383074931084
dualls_adapted,47,wind5,11.418521881103516,11.696771076678262,-0.27824919557474637,-0.02319445420702774
dualls_adapted,47,speed15,10.089777946472168,9.994918430293048,0.09485951617912036,0.013860830414108804
dualls_adapted,47,alt180,11.469289779663086,11.713144764935882,-0.2438549852727956,-0.022653609255962524
dualls_adapted,47,speed10,8.352296829223633,8.44248381000598,-0.09018698078234699,-0.015624367078632982
dualls_adapted,59,baseline,11.92104721069336,12.203472149815608,-0.2824249391222491,-0.026106964548471865
dualls_adapted,59,wind5,11.327397346496582,11.517574364708597,-0.19017701821201527,-0.01587513319884397
dualls_adapted,59,speed15,10.114636421203613,10.007646190135228,0.10699023106838546,0.016147620891953124
dualls_adapted,59,alt180,11.309272766113281,11.542915744079913,-0.2336429779666318,-0.022684453859443045
dualls_adapted,59,speed10,8.231305122375488,8.276691165097743,-0.04538604272225477,-0.007770608540786227
dualls_adapted,71,baseline,12.082587242126465,12.317187174600303,-0.23459993247383792,-0.021150825359826913
dualls_adapted,71,wind5,11.400135040283203,11.555763483289288,-0.15562844300608525,-0.012816664925994441
dualls_adapted,71,speed15,10.16525650024414,10.062467753717362,0.1027887465267785,0.015275507624737245
dualls_adapted,71,alt180,11.49783706665039,11.766376591680055,-0.2685395250296647,-0.024388917538415208
dualls_adapted,71,speed10,8.192441940307617,8.317036654545928,-0.12459471423831125,-0.02143252711028684
dualls_adapted,89,baseline,12.064393997192383,12.387201898933935,-0.3228079017415517,-0.028899420009397478
dualls_adapted,89,wind5,11.417899131774902,11.678421613169007,-0.26052248139410494,-0.02208768002794862
dualls_adapted,89,speed15,9.92006778717041,9.828872112467078,0.09119567470333223,0.013366165201239212
dualls_adapted,89,alt180,11.38979721069336,11.570163391177493,-0.18036618048413366,-0.016742370903174278
dualls_adapted,89,speed10,8.351157188415527,8.420994714388861,-0.06983752597333392,-0.011946622664144969
dualls_adapted,107,baseline,12.209367752075195,12.575538903777199,-0.36617115170200343,-0.03224479494970483
dualls_adapted,107,wind5,11.458086013793945,11.622120702363414,-0.164034688569469,-0.01336998599605837
dualls_adapted,107,speed15,10.114680290222168,10.036263211330457,0.0784170788917109,0.011641233117244793
dualls_adapted,107,alt180,11.38754940032959,11.717548447951414,-0.32999904762182375,-0.029803311348414276
dualls_adapted,107,speed10,8.411012649536133,8.438644499028825,-0.027631849492692595,-0.00470806473456647
