method,seed,task,cpa_minus_50bin,initial_50bin_residual,cpa_minus_nearest_non_cpa,initial_nearest_residual,nearest_initial_mae,nearest_initial_max,cpa_n,unique_donors
reservoir,47,speed15,0.09821211732334334,0.08818919827537819,0.23512285232459038,0.15596464019470405,0.239621675188555,42.50067138671875,702,498
reservoir,47,alt180,0.263169640294039,0.01152733535522188,0.7523471464279882,0.01524660050720348,0.1252362473201276,4.30169677734375,802,518
reservoir,47,speed10,0.5940698355348242,0.009355572100597342,1.0256402623405796,0.03782004378846562,0.09563452964897326,7.413410186767578,674,488
reservoir,59,baseline,-0.3462148334915863,-0.0006660387540957657,-1.115460477156193,0.0362487662806183,0.13646554668027627,18.12615966796875,887,549
reservoir,59,wind5,-0.09540183320360851,0.009678334609251493,-0.04077354152110721,0.012794533166392097,0.13881023663415387,3.4867630004882812,986,540
reservoir,59,speed15,-0.04081415486352846,0.08126116320937982,-0.26837065559082224,0.18420404609706667,0.25451406261265447,39.0920295715332,702,478
reservoir,59,alt180,0.14493947858579576,-0.016924693840294935,0.22358203261273163,0.0051828448909179235,0.10485007236723293,4.434574127197266,802,530
reservoir,59,speed10,0.30646629782677726,0.005263445982013337,0.48219403414503403,0.03902573472314489,0.0998211380989686,8.555030822753906,674,486
reservoir,71,baseline,0.45368073822260846,-0.028794990135265763,0.8151416881377426,0.03509082714895788,0.1309655547948405,17.878997802734375,887,534
reservoir,71,wind5,-0.16739713555597824,0.0028942663583872985,-0.20578574738323568,0.003365644093217521,0.1519798869777161,3.999603271484375,986,550
reservoir,71,speed15,-0.07229319091697434,0.1123962366681166,-0.284132093488321,0.19209060064408173,0.2662568561032287,45.067718505859375,702,468
reservoir,71,alt180,0.33918547140188793,0.016435814870693122,0.3513952113520772,0.03218342690842407,0.1253478056251854,4.246562957763672,802,517
reservoir,71,speed10,0.0029055972816828257,0.02708087168628026,0.0005472423149499412,0.026232478040262217,0.08352510471902898,6.269596099853516,674,477
reservoir,89,baseline,0.13060055202949586,-0.03029052658049558,0.40288284108496303,0.0392873246882115,0.14339230952967114,17.762954711914062,887,536
reservoir,89,wind5,0.04367393275599976,0.0031673071153388577,0.050645867117036426,0.023228146483400047,0.1613248281981834,3.9160308837890625,986,533
reservoir,89,speed15,0.44179174489135853,0.11126624328589152,0.8127526245225868,0.14126730695409312,0.22272784774459664,40.64649963378906,702,481
reservoir,89,alt180,0.5805496458538981,-0.015189105365900346,0.6336918259945297,0.025488821125387254,0.13645745639194573,4.481052398681641,802,512
reservoir,89,speed10,0.204787409781108,0.051022167990034006,0.4169452207201666,0.07266284419273411,0.14251860573843608,36.893192291259766,674,486
reservoir,107,baseline,-0.12574340316625854,-0.02038067348386363,-0.10157682851645697,0.0271618785053122,0.1530011614622903,14.989051818847656,887,530
reservoir,107,wind5,0.16046786450852094,0.005409464889684301,0.15841600468144212,0.0038985020611397394,0.15680749523954024,3.7729644775390625,986,547
reservoir,107,speed15,0.006233047101809636,0.04826942022505776,-0.12312836741280352,0.1776680146951621,0.2563562151628342,40.787960052490234,702,486
reservoir,107,alt180,0.2788218502398389,0.0018345526740404239,0.49220496438387923,0.021972759183208245,0.14465905491847944,6.944664001464844,802,513
reservoir,107,speed10,0.445627999323061,0.038499715849718896,0.8771972781826551,0.031033775661394928,0.09050738979517883,8.639644622802734,674,487
gss_adapted,7,baseline,-0.11120128861681672,-0.019275769056282144,-0.27970960783313337,0.045547595522718205,0.15193338132764736,14.582221984863281,887,543
gss_adapted,7,wind5,-0.03768462137974904,0.0017141404016651762,-0.04114503693024479,-0.003441678824821302,0.14937341878186858,3.88311767578125,986,545
gss_adapted,7,speed15,-0.1084980979206005,0.07270343826235326,-0.1621935277582913,0.15819702770805086,0.234548966047431,41.44083213806152,702,496
gss_adapted,7,alt180,0.269920073657531,-0.012549159989454495,0.6253351877603744,0.014954106394489507,0.1323204579347387,6.441230773925781,802,514
gss_adapted,7,speed10,-0.003782879601454875,0.01689504431013411,0.061659663296594815,0.02746195242206845,0.08491079889525292,7.666538238525391,674,493
gss_adapted,11,baseline,-0.0021514380543870004,-0.018886251948826427,-0.15573421318877778,0.03708979463899821,0.13294441744332383,16.46881103515625,887,524
gss_adapted,11,wind5,-0.24206008275143176,0.007110372646764063,-0.6456543853993831,-0.0015220278779585028,0.16031863233622382,3.9895782470703125,986,548
gss_adapted,11,speed15,0.15955748913790868,0.10588863522980674,0.21672479220350244,0.17304338302537586,0.23054243963837964,43.88497734069824,702,476
gss_adapted,11,alt180,0.3871700309811388,-0.007890068912978165,0.7092945708003722,-0.0016997369596191178,0.1291523188575545,4.0732879638671875,802,506
gss_adapted,11,speed10,0.12130651265830375,0.01942969837380204,0.23980385728335168,0.0135921292029078,0.08989100702084844,7.384616851806641,674,489
gss_adapted,23,baseline,-0.12497771703591765,-0.005566231340369043,-0.20272199458441578,0.045002241447786334,0.1342405893555354,17.61931610107422,887,519
gss_adapted,23,wind5,-0.12884103691613724,-0.039688609563491184,-0.32137293811381223,0.01822664856185294,0.13294481276014997,4.211341857910156,986,545
gss_adapted,23,speed15,-0.117707374758103,0.07887983091968387,-0.2766510119125714,0.1732340767512634,0.24310273118847794,43.4849910736084,702,478
gss_adapted,23,alt180,0.1767186770163356,-0.013799052109959575,0.4179813378859785,0.038451655324260495,0.14175902243861535,7.020050048828125,802,524
gss_adapted,23,speed10,-0.022216352661723743,0.005943679396366974,-0.0411429057444946,0.028758605527594818,0.09334298101660052,8.715866088867188,674,458
gss_adapted,47,baseline,-0.04933144487487917,-0.05640759594671785,-0.19616500379805366,0.027662878509573094,0.11647318436301145,9.910396575927734,887,521
gss_adapted,47,wind5,-0.17979911406432392,0.009637069959451239,-0.47391161778998425,0.02522546491202186,0.13996825302227517,4.6122894287109375,986,553
gss_adapted,47,speed15,-0.10054042510676864,0.1323347605131584,-0.15524848242770573,0.15317991125447797,0.2439355837059157,42.28118896484375,702,468
gss_adapted,47,alt180,0.2836055998314291,-0.007701366402962151,0.16281609824322107,0.020493044780376845,0.15732759568013455,7.513633728027344,802,511
gss_adapted,47,speed10,-0.2234774973996394,-0.00194349834260521,-0.41111065633042276,0.019814231408102224,0.0947225822981458,7.256198883056641,674,491
gss_adapted,59,baseline,0.01739285562577228,-0.0006660387540957657,-0.2847879303549968,0.0362487662806183,0.13646554668027627,18.12615966796875,887,549
gss_adapted,59,wind5,-0.12084999257950119,0.0016177141689759367,-0.22860450982201172,0.0195580715460903,0.1350875456362177,3.6420822143554688,986,547
gss_adapted,59,speed15,-0.17274755972857414,0.03863937993947708,-0.4424845332603509,0.19213734758205903,0.25254794208072867,43.72589111328125,702,473
gss_adapted,59,alt180,0.36066394031613513,-0.047141470775194705,0.44101835190878247,0.020224179022775922,0.13073049312889426,8.876884460449219,802,539
gss_adapted,59,speed10,0.05019342344608519,0.01130625485582648,0.0939079076936054,0.03656592726353722,0.09564947993536024,7.3203582763671875,674,486
gss_adapted,71,baseline,-0.20500035886764015,-0.028794990135265763,-0.4641994973718112,0.03509082714895788,0.1309655547948405,17.878997802734375,887,534
gss_adapted,71,wind5,0.03362264924607522,-0.04175791307408794,-0.013961471602109093,0.0022055281828673324,0.14222316326040768,3.2967071533203125,986,542
gss_adapted,71,speed15,0.040805237795905835,0.11510453218811278,-0.18063047893366582,0.1708264630234819,0.2397279446451073,44.92856788635254,702,479
gss_adapted,71,alt180,0.5093203728065019,0.028403997234876854,1.1353209953281351,0.016442656554188813,0.1547621077953134,13.409683227539062,802,500
gss_adapted,71,speed10,0.052168349870414965,0.02203760076196204,0.06509342223671141,0.023942106688057987,0.09618693267379387,7.868968963623047,674,479
gss_adapted,89,baseline,-0.14978034086224806,-0.03029052658049558,-0.2858391684031675,0.0392873246882115,0.14339230952967114,17.762954711914062,887,536
gss_adapted,89,wind5,-0.127498089435441,0.017558285723930922,-0.2707397092065753,0.0040226520075033936,0.15822967221964204,3.7666969299316406,986,553
gss_adapted,89,speed15,-0.029173523263573475,0.0959819531908721,-0.19980310848210953,0.17122563917157996,0.24612803665915786,43.393192291259766,702,465
gss_adapted,89,alt180,0.35705221193884873,-0.03756346015694767,0.6587241010698595,0.017191109328793173,0.14175446896333052,10.751876831054688,802,514
gss_adapted,89,speed10,0.009058881720789308,0.02810950189385686,-0.04843771674335887,0.02857041327995787,0.09116718566559188,7.117485046386719,674,489
gss_adapted,107,baseline,0.10428216692787332,-0.02038067348386363,0.4409371529282685,0.0271618785053122,0.1530011614622903,14.989051818847656,887,530
gss_adapted,107,wind5,-0.029184926170623626,-0.005867008886729863,0.004420151575100108,0.00539961572109323,0.14245092892985314,3.6778945922851562,986,545
gss_adapted,107,speed15,-0.047566117561721216,0.07419839562921737,-0.23685928194271533,0.17825172302390097,0.24908718364870447,42.84029197692871,702,477
gss_adapted,107,alt180,0.5135380749248621,-0.020165164578534345,0.8973625802859998,0.028963999557970764,0.14350975302983995,15.911773681640625,802,518
gss_adapted,107,speed10,-0.036331883732429154,0.007217655880172202,-0.03129949809800977,0.027628326539823493,0.08859363375148717,6.832561492919922,674,476
cgsm_dual,7,baseline,-0.18818048081961536,-0.019275769056282144,-0.39367318680885816,0.045547595522718205,0.15193338132764736,14.582221984863281,887,543
cgsm_dual,7,wind5,-0.019857937436794426,-0.013856484896869858,-0.09515596412379167,0.007568531297525092,0.14012398644828408,2.986846923828125,986,544
cgsm_dual,7,speed15,-0.020006477140777634,0.08674777078849871,-0.02465280550837177,0.15722887413284378,0.2331810712899238,41.9052791595459,702,493
cgsm_dual,7,alt180,0.14462252313049478,0.017139250599562672,-0.10726776358641293,0.008832758613060834,0.14369577574462367,11.787742614746094,802,511
cgsm_dual,7,speed10,-0.004499856623609161,0.009926863130507613,0.05246799381709594,0.028035901000485575,0.0874526519051999,8.103889465332031,674,478
cgsm_dual,11,baseline,-0.1016722543914099,-0.018886251948826427,-0.3830308919896402,0.03708979463899821,0.13294441744332383,16.46881103515625,887,524
