method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
gss_adapted,89,baseline,152,11,15,512,0.06748466257668712,0.028462998102466792,152,11,13,514,0.06748466257668712,0.024667931688804556,0.0,-0.003795066413662236
gss_adapted,89,wind5,105,9,17,406,0.07894736842105263,0.04018912529550828,105,9,17,406,0.07894736842105263,0.04018912529550828,0.0,0.0
gss_adapted,89,speed15,117,11,11,771,0.0859375,0.014066496163682864,116,12,10,772,0.09375,0.01278772378516624,0.0078125,-0.0012787723785166235
gss_adapted,89,alt180,132,8,10,627,0.05714285714285714,0.015698587127158554,132,8,10,627,0.05714285714285714,0.015698587127158554,0.0,0.0
gss_adapted,89,speed10,111,13,11,829,0.10483870967741936,0.013095238095238096,110,14,11,829,0.11290322580645161,0.013095238095238096,0.008064516129032251,0.0
gss_adapted,107,baseline,154,9,13,514,0.05521472392638037,0.024667931688804556,152,11,15,512,0.06748466257668712,0.028462998102466792,0.012269938650306747,0.003795066413662236
gss_adapted,107,wind5,104,10,21,402,0.08771929824561403,0.04964539007092199,106,8,19,404,0.07017543859649122,0.04491725768321513,-0.017543859649122806,-0.004728132387706856
gss_adapted,107,speed15,116,12,11,771,0.09375,0.014066496163682864,116,12,11,771,0.09375,0.014066496163682864,0.0,0.0
gss_adapted,107,alt180,133,7,11,626,0.05,0.01726844583987441,132,8,11,626,0.05714285714285714,0.01726844583987441,0.007142857142857138,0.0
gss_adapted,107,speed10,109,15,13,827,0.12096774193548387,0.015476190476190477,107,17,14,826,0.13709677419354838,0.016666666666666666,0.016129032258064502,0.0011904761904761897
cgsm_dual,7,baseline,153,10,14,513,0.06134969325153374,0.026565464895635674,153,10,13,514,0.06134969325153374,0.024667931688804556,0.0,-0.001897533206831118
cgsm_dual,7,wind5,107,7,18,405,0.06140350877192982,0.0425531914893617,107,7,17,406,0.06140350877192982,0.04018912529550828,0.0,-0.0023640661938534244
cgsm_dual,7,speed15,117,11,12,770,0.0859375,0.015345268542199489,115,13,11,771,0.1015625,0.014066496163682864,0.015625,-0.0012787723785166252
cgsm_dual,7,alt180,132,8,11,626,0.05714285714285714,0.01726844583987441,132,8,10,627,0.05714285714285714,0.015698587127158554,0.0,-0.0015698587127158554
cgsm_dual,7,speed10,111,13,15,825,0.10483870967741936,0.017857142857142856,112,12,15,825,0.0967741935483871,0.017857142857142856,-0.008064516129032265,0.0
cgsm_dual,11,baseline,151,12,12,515,0.0736196319018405,0.022770398481973434,152,11,14,513,0.06748466257668712,0.026565464895635674,-0.0061349693251533804,0.0037950664136622396
cgsm_dual,11,wind5,104,10,17,406,0.08771929824561403,0.04018912529550828,107,7,17,406,0.06140350877192982,0.04018912529550828,-0.02631578947368421,0.0
cgsm_dual,11,speed15,116,12,11,771,0.09375,0.014066496163682864,116,12,11,771,0.09375,0.014066496163682864,0.0,0.0
cgsm_dual,11,alt180,132,8,13,624,0.05714285714285714,0.02040816326530612,132,8,10,627,0.05714285714285714,0.015698587127158554,0.0,-0.004709576138147566
cgsm_dual,11,speed10,109,15,15,825,0.12096774193548387,0.017857142857142856,108,16,18,822,0.12903225806451613,0.02142857142857143,0.008064516129032251,0.0035714285714285726
cgsm_dual,23,baseline,153,10,13,514,0.06134969325153374,0.024667931688804556,151,12,13,514,0.0736196319018405,0.024667931688804556,0.012269938650306754,0.0
cgsm_dual,23,wind5,108,6,17,406,0.05263157894736842,0.04018912529550828,104,10,17,406,0.08771929824561403,0.04018912529550828,0.03508771929824561,0.0
cgsm_dual,23,speed15,117,11,11,771,0.0859375,0.014066496163682864,115,13,11,771,0.1015625,0.014066496163682864,0.015625,0.0
cgsm_dual,23,alt180,133,7,10,627,0.05,0.015698587127158554,132,8,11,626,0.05714285714285714,0.01726844583987441,0.007142857142857138,0.0015698587127158554
cgsm_dual,23,speed10,110,14,16,824,0.11290322580645161,0.01904761904761905,108,16,16,824,0.12903225806451613,0.01904761904761905,0.016129032258064516,0.0
cgsm_dual,47,baseline,154,9,15,512,0.05521472392638037,0.028462998102466792,153,10,12,515,0.06134969325153374,0.022770398481973434,0.0061349693251533735,-0.005692599620493358
cgsm_dual,47,wind5,105,9,19,404,0.07894736842105263,0.04491725768321513,104,10,17,406,0.08771929824561403,0.04018912529550828,0.008771929824561403,-0.004728132387706856
cgsm_dual,47,speed15,117,11,12,770,0.0859375,0.015345268542199489,116,12,10,772,0.09375,0.01278772378516624,0.0078125,-0.0025575447570332487
cgsm_dual,47,alt180,133,7,10,627,0.05,0.015698587127158554,134,6,10,627,0.04285714285714286,0.015698587127158554,-0.007142857142857145,0.0
cgsm_dual,47,speed10,108,16,18,822,0.12903225806451613,0.02142857142857143,110,14,20,820,0.11290322580645161,0.023809523809523808,-0.016129032258064516,0.0023809523809523794
cgsm_dual,59,baseline,153,10,14,513,0.06134969325153374,0.026565464895635674,152,11,16,511,0.06748466257668712,0.030360531309297913,0.0061349693251533735,0.0037950664136622396
cgsm_dual,59,wind5,107,7,18,405,0.06140350877192982,0.0425531914893617,105,9,18,405,0.07894736842105263,0.0425531914893617,0.017543859649122806,0.0
cgsm_dual,59,speed15,118,10,12,770,0.078125,0.015345268542199489,115,13,12,770,0.1015625,0.015345268542199489,0.0234375,0.0
cgsm_dual,59,alt180,134,6,10,627,0.04285714285714286,0.015698587127158554,132,8,10,627,0.05714285714285714,0.015698587127158554,0.014285714285714284,0.0
cgsm_dual,59,speed10,109,15,14,826,0.12096774193548387,0.016666666666666666,108,16,16,824,0.12903225806451613,0.01904761904761905,0.008064516129032251,0.002380952380952383
cgsm_dual,71,baseline,152,11,12,515,0.06748466257668712,0.022770398481973434,152,11,14,513,0.06748466257668712,0.026565464895635674,0.0,0.0037950664136622396
cgsm_dual,71,wind5,106,8,19,404,0.07017543859649122,0.04491725768321513,103,11,19,404,0.09649122807017543,0.04491725768321513,0.02631578947368421,0.0
cgsm_dual,71,speed15,117,11,12,770,0.0859375,0.015345268542199489,117,11,11,771,0.0859375,0.014066496163682864,0.0,-0.0012787723785166252
cgsm_dual,71,alt180,133,7,10,627,0.05,0.015698587127158554,133,7,10,627,0.05,0.015698587127158554,0.0,0.0
cgsm_dual,71,speed10,111,13,14,826,0.10483870967741936,0.016666666666666666,109,15,17,823,0.12096774193548387,0.02023809523809524,0.016129032258064516,0.0035714285714285726
cgsm_dual,89,baseline,152,11,15,512,0.06748466257668712,0.028462998102466792,152,11,14,513,0.06748466257668712,0.026565464895635674,0.0,-0.001897533206831118
cgsm_dual,89,wind5,105,9,17,406,0.07894736842105263,0.04018912529550828,105,9,16,407,0.07894736842105263,0.037825059101654845,0.0,-0.0023640661938534313
cgsm_dual,89,speed15,117,11,10,772,0.0859375,0.01278772378516624,116,12,10,772,0.09375,0.01278772378516624,0.0078125,0.0
cgsm_dual,89,alt180,131,9,10,627,0.06428571428571428,0.015698587127158554,131,9,11,626,0.06428571428571428,0.01726844583987441,0.0,0.0015698587127158554
cgsm_dual,89,speed10,110,14,13,827,0.11290322580645161,0.015476190476190477,109,15,16,824,0.12096774193548387,0.01904761904761905,0.008064516129032265,0.0035714285714285726
cgsm_dual,107,baseline,154,9,13,514,0.05521472392638037,0.024667931688804556,154,9,13,514,0.05521472392638037,0.024667931688804556,0.0,0.0
cgsm_dual,107,wind5,104,10,18,405,0.08771929824561403,0.0425531914893617,104,10,19,404,0.08771929824561403,0.04491725768321513,0.0,0.0023640661938534313
cgsm_dual,107,speed15,116,12,11,771,0.09375,0.014066496163682864,117,11,11,771,0.0859375,0.014066496163682864,-0.0078125,0.0
cgsm_dual,107,alt180,134,6,11,626,0.04285714285714286,0.01726844583987441,132,8,11,626,0.05714285714285714,0.01726844583987441,0.014285714285714284,0.0
cgsm_dual,107,speed10,109,15,14,826,0.12096774193548387,0.016666666666666666,109,15,17,823,0.12096774193548387,0.02023809523809524,0.0,0.0035714285714285726
dualls_adapted,7,baseline,152,11,14,513,0.06748466257668712,0.026565464895635674,154,9,14,513,0.05521472392638037,0.026565464895635674,-0.012269938650306747,0.0
dualls_adapted,7,wind5,105,9,18,405,0.07894736842105263,0.0425531914893617,108,6,17,406,0.05263157894736842,0.04018912529550828,-0.02631578947368421,-0.0023640661938534244
dualls_adapted,7,speed15,116,12,12,770,0.09375,0.015345268542199489,116,12,10,772,0.09375,0.01278772378516624,0.0,-0.0025575447570332487
dualls_adapted,7,alt180,132,8,10,627,0.05714285714285714,0.015698587127158554,131,9,11,626,0.06428571428571428,0.01726844583987441,0.007142857142857138,0.0015698587127158554
dualls_adapted,7,speed10,110,14,13,827,0.11290322580645161,0.015476190476190477,110,14,13,827,0.11290322580645161,0.015476190476190477,0.0,0.0
dualls_adapted,11,baseline,152,11,14,513,0.06748466257668712,0.026565464895635674,154,9,13,514,0.05521472392638037,0.024667931688804556,-0.012269938650306747,-0.001897533206831118
dualls_adapted,11,wind5,106,8,17,406,0.07017543859649122,0.04018912529550828,106,8,17,406,0.07017543859649122,0.04018912529550828,0.0,0.0
dualls_adapted,11,speed15,116,12,12,770,0.09375,0.015345268542199489,115,13,10,772,0.1015625,0.01278772378516624,0.0078125,-0.0025575447570332487
dualls_adapted,11,alt180,131,9,10,627,0.06428571428571428,0.015698587127158554,131,9,10,627,0.06428571428571428,0.015698587127158554,0.0,0.0
dualls_adapted,11,speed10,109,15,16,824,0.12096774193548387,0.01904761904761905,109,15,13,827,0.12096774193548387,0.015476190476190477,0.0,-0.0035714285714285726
dualls_adapted,23,baseline,153,10,14,513,0.06134969325153374,0.026565464895635674,152,11,16,511,0.06748466257668712,0.030360531309297913,0.0061349693251533735,0.0037950664136622396
